researchInitiative,projectNum,subProject
RADx-rad,1U01AA029345-01,Automatic Detection & Tracing
RADx-rad,1U01AA029316-01,Automatic Detection & Tracing
RADx-rad,1U01AA029331-01,Automatic Detection & Tracing
RADx-rad,1U01AA029324-01,Automatic Detection & Tracing
RADx-rad,1U01AA029328-01,Automatic Detection & Tracing
RADx-rad,1U01AA029348-01,Automatic Detection & Tracing
RADx-rad,1U01DC019578-01,Chemosensory Testing
RADx-rad,1U01DC019573-01,Chemosensory Testing
RADx-rad,3R01DC016112-04S1,Chemosensory Testing
RADx-rad,4U01DC019579-03,Chemosensory Testing
RADx-rad,1U24LM013755-01,Data Coordinating Center
RADx-rad,1ZIAES103366-01,Diagnostic-Prognostic RNAseq
RADx-rad,1U18TR003780-01,Exosome
RADx-rad,1U18TR003793-01,Exosome
RADx-rad,1U18TR003807-01,Exosome
RADx-rad,1U18TR003778-01,Exosome
RADx-rad,1R01DE031114-01,Multimodal Surveillance
RADx-rad,1R01NR020105-01,Multimodal Surveillance
RADx-rad,1R01MD016526-01,Multimodal Surveillance
RADx-rad,1R01DK130067-01,Multimodal Surveillance
RADx-rad,4U54HL119145-08,Novel Biosensing and VOC
RADx-rad,4U54HL119145-08,Novel Biosensing and VOC
RADx-rad,3U01HL152401-02S1,Novel Biosensing and VOC
RADx-rad,5U01HL150852-02,Novel Biosensing and VOC
RADx-rad,1R44DE030852-01,Novel Biosensing and VOC
RADx-rad,1R44DE030842-01,Novel Biosensing and VOC
RADx-rad,1R44DE030841-01,Novel Biosensing and VOC
RADx-rad,1R42DE030829-01,Novel Biosensing and VOC
RADx-rad,3U01HL146002-04S2,Novel Biosensing and VOC
RADx-rad,1R42DE030832-01,Novel Biosensing and VOC
RADx-rad,1U01HL152410-01,Novel Biosensing and VOC
RADx-rad,1R61HD105591-01,PreVAIL kIds
RADx-rad,1R61HD105610-01,PreVAIL kIds
RADx-rad,1R61HD105594-01,PreVAIL kIds
RADx-rad,3R33HD105594-03S1,PreVAIL kIds
RADx-rad,1R61HD105593-01,PreVAIL kIds
RADx-rad,1R61HD105613-01,PreVAIL kIds
RADx-rad,1R61HD105619-01,PreVAIL kIds
RADx-rad,3R33HD105613-03S1,PreVAIL kIds
RADx-rad,1R61HD105590-01,PreVAIL kIds
RADx-rad,4R33HD105590-03,PreVAIL kIds
RADx-rad,1R61HD105618-01,PreVAIL kIds
RADx-rad,1U18TR003795-01,SCENT
RADx-rad,1U18TR003775-01,SCENT
RADx-rad,1U18TR003787-01,SCENT
RADx-rad,1U18TR003812-01,SCENT
RADx-rad,1U01DA053949-01,Wastewater
RADx-rad,1U01DA053899-01,Wastewater
RADx-rad,3U01LM013129-02S1,Wastewater
RADx-rad,1U01DA053976-01,Wastewater
RADx-rad,1U01DA053903-01,Wastewater
RADx-rad,1U01DA053893-01,Wastewater
RADx-rad,1U01DA053941-01,Wastewater
