PROJECT TITLE,ORGANIZATION,GROUP,PHS,dbgap_accession,FOA,foa,PROJECT NUM,project_num,core_project_num,project_serial_num
A Confectionary-based Screening Tool for Assessing Chemosensory Loss in COVID-19 Patients,OhSU,CST,phs2642.v1,phs002642.v1.p1,NOT-OD-20-152,NOT-OD-20-152,3-R01DC016112-04S1,3R01DC016112-04S1,R01DC016112-04S1,DC016112
A Data Science Approach to Identify and Manage Multisystem Inflammatory Syndrome in Children (MIS-C) Associated with SARS-CoV-2 Infection and Kawasaki Disease (KD) in Pediatric Patients,JHU,PK,phs002945.v1,phs002945.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105591-01,1R61HD105591-01,R61HD105591-01,HD105591
A Handheld Microchip for GC Analysis of Breath to Screen for COVID-19,LOUIS,SCE,phs2563.v1,phs002563.v1.p1,RFA-OD-20-017,RFA-OD-20-017,1-U18TR003787-01,1U18TR003787-01,U18TR003787-01,TR003787
A Multimodal Platform for Oral Screening of COVID-19,INNO,NB,phs2570.v1,phs002570.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-R42DE030829-01,1R42DE030829-01,R42DE030829-01,DE030829
A Rapid Breathalyzer Diagnostics Platform for COVID-19,RUTG,NB,phs2583.v2,phs002583.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",5-U01HL150852-02,5U01HL150852-02,U01HL150852-02,HL150852
A Rapid Saliva Antigen Test for SARS-CoV-2 Detection,BWH,NB,phs002689,phs002689.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",4-U54HL119145-08,4U54HL119145-08,U54HL119145-08,HL119145
A SARS-CoV-2 Breathalyzer for Direct Virus Detection,AEROS,NB,phs2572.v1,phs002572.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-R42DE030832-01,1R42DE030832-01,R42DE030832-01,DE030832
A Scalable Aptamer-based Electrochemical Biosensor for Rapid Detection of SARS-Cov-2 from Saliva,mPOD,NB,phs002702.v1,phs002702.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-R44DE030842-01,1R44DE030842-01,R44DE030842-01,DE030842
AFS/SERS Saliva-based SARS-CoV-2 Earliest Infection and Antibodies Detection,UCLA,EX,phs 002544.v1,phs002544.v1.p1,RFA - OD - 20 - 018,RFA-OD-20-018,4-U54HL119145-08,1U18TR003778-01  ,U18TR003778-01  ,TR003778
AICORE-kids: Artificial Intelligence COVID-19 Risk AssEssment for kids,BCM,PK,phs2585.v1,phs002585.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105593-01,1R61HD105593-01,R61HD105593-01,HD105593
Bioinformatics Framework for Wastewater-based Surveillance of Infectious Diseases,ASU,WW,phs002527.v1,phs002527.v1.p1,RFA-OD-20-015,RFA-OD-20-015,3-U01LM013129-02S2,3U01LM013129-02S2,U01LM013129-02S2,LM013129
Broad-spectrum Detection of VOC and Non-VOC Biomarkers from Patient Exhalant using Biomimetic Multiplexed eNose Biosensor for COVID-19 Diagnosis,UWASH,NB,phs2924.v1,phs002924.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",3-U01HL152401-02S1,3U01HL152401-02S1,U01HL152401-02S1,HL152401
COVID-19 Detection through Scent Analysis with a Compact GC Device,UMICH,SCE,phs002747.v1,phs002747.v1.p1,RFA-OD-20-017,RFA-OD-20-017,1-U18TR003812-01,1U18TR003812-01,U18TR003812-01,TR003812
COVID-19 Network of Networks Expanding Clinical and Translational Approaches to Predict Severe Illness in Children (CONNECT to Predict Sick Children),RUTG,PK,phs2569.v1,phs002569.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105619-01,1R61HD105619-01,R61HD105619-01,HD105619
Designer DNA Nanostructure Based Biosensing for Rapid COVID-19 Detection and Monitoring using Saliva Sample,ATOM,NB,phs2685.v1,phs002685.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-R44DE030852-01,1R44DE030852-01,R44DE030852-01,DE030852
Detection and Automatic Privacy-Protected Contact Tracing System Designed for COVID-19,LSU,ADT,phs2573.v1,phs002573.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029348-01,1U01AA029348-01,U01AA029348-01,AA029348
Development and Proof-of-Concept Implementation of the South Florida Miami RADx-rad SARS-CoV-2 Wastewater-Based Surveillance Infrastructure,UMIAM,WW,phs2525.v1,phs002525.v1.p1,RFA-OD-20-015,RFA-OD-20-015,1-U01DA053941-01,1U01DA053941-01,U01DA053941-01,DA053941
Development of an Automated Diagnostic Platform for SARS-CoV-2 Monitoring in Vulnerable Areas,CLEM,ADT,phs 2546.v1,phs002546.v1.p1,RFA-OD-20-014,RFA-OD-20-014,1-U01AA029328-01,1U01AA029328-01,U01AA029328-01,AA029328
Diagnosing and Predicting Risk in Children with SARS-CoV-2- Related Illness,UCSD,PK,phs2553.v1,phs002553.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105590-01,1R61HD105590-01,R61HD105590-01,HD105590
Diagnosis of MIS-C in Febrile Children,CHP,PK,phs2603.v1,phs002603.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105594-01,"1R61HD105594-01,3R33HD105594-03S1","R61HD105594-01,R33HD105594-03S1",HD105594
Direct Bioelectronic Detection of SARS-Cov-2 from Saliva using Singlemolecule Field-effect Transistor Array,QBI,NB,phs2550.v1,phs002550.v1.p1,PA-20-272 and NOT-OD-21-035,"PA-20-272,NOT-OD-21-035",1-R44DE030841-01,1-R44DE030841-01,R44DE030841-01,DE030841
Discovery and Clinical Validation of Host Biomarkers of Disease Severity and Multi-System Inflammatory Syndrome in Children (MIS-C) with COVID-19,UCSF,PK,phs002781.v1,phs002781.v1.p1,RFA-OD-20-023,RFA-OD-20-023,1-R61HD105618-01,1R61HD105618-01,R61HD105618-01,HD105618
"Early Detection, Containment, and Management of COVID-19 in Dialysis Facilities Using Multi-Modal Data Sources",UC SB,MM,phs2657.v1,phs002657.v1.p1,RFA - OD -20 -016,RFA-OD-20-016,1-R01DK130067-01,1R01DK130067-01,R01DK130067-01,DK130067
