researchInitiative,dbgapAccession,projectNum,contactPi,dataPi,coPi,comments,subProject,contactPiOrcid,dataPiOrcid,coPiOrcid
RADx-rad,phs002522.v1.p1,1U01HL152410-01,"Fay, William P","Huang, Jie","Grant, Sheila Ann",,Novel Biosensing and VOC,https://orcid.org/0000-0001-9102-4216,https://orcid.org/0000-0002-8659-2910,https://orcid.org/0000-0003-1009-2319
RADx-rad,phs002522.v1.p1,1U01HL152410-01,"Fay, William P","Huang, Jie","Turpin, William Monroe",,Novel Biosensing and VOC,https://orcid.org/0000-0001-9102-4216,https://orcid.org/0000-0002-8659-2910,https://orcid.org/0000-0002-3616-5216
RADx-rad,phs002523.v1.p1,1R01NR020105-01,"Snyder, Michael P","Snyder, Michael P",,,Multimodal Surveillance,https://orcid.org/0000-0003-0784-7987,https://orcid.org/0000-0003-0784-7987,
RADx-rad,phs002524.v1.p1,1R01DE031114-01,"Jokerst, Jesse Vincent","Jokerst, Jesse Vincent",,,Multimodal Surveillance,https://orcid.org/0000-0003-2829-6408,https://orcid.org/0000-0003-2829-6408,
RADx-rad,phs002525.v1.p1,1U01DA053941-01,"Solo-Gabriele, Helena","Solo-Gabriele, Helena","Mason, Christopher Edward",,Wastewater,https://orcid.org/0000-0003-3390-3823,https://orcid.org/0000-0003-3390-3823,https://orcid.org/0000-0002-1850-1642
RADx-rad,phs002525.v1.p1,1U01DA053941-01,"Solo-Gabriele, Helena","Solo-Gabriele, Helena","Schurer, Stephan C",,Wastewater,https://orcid.org/0000-0003-3390-3823,https://orcid.org/0000-0003-3390-3823,https://orcid.org/0000-0002-5522-3389
RADx-rad,phs002527.v1.p1,3U01LM013129-02S1,"Scotch, Matthew","Scotch, Matthew","Halden, Rolf U",,Wastewater,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0001-5232-7361
RADx-rad,phs002527.v1.p1,3U01LM013129-02S1,"Scotch, Matthew","Scotch, Matthew","Varsani, Arvind",,Wastewater,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0003-4111-2415
RADx-rad,phs002527.v1.p1,3U01LM013129-02S1,"Scotch, Matthew","Scotch, Matthew","Varsani, Arvind",,Wastewater,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0001-5100-9724,https://orcid.org/0000-0003-4111-2415
RADx-rad,phs002542.v1.p1,1U01DA053903-01,"Berry, Scott Michael","Keck, James",,,Wastewater,https://orcid.org/0000-0001-7403-9264,https://orcid.org/0000-0001-7193-065X,
RADx-rad,phs002543.v1.p1,1U01AA029324-01,"Potyrailo, Radislav A","Potyrailo, Radislav A",,,Automatic Detection & Tracing,https://orcid.org/0000-0002-4823-1962,https://orcid.org/0000-0002-4823-1962,
RADx-rad,phs002544.v1.p1,1U18TR003778-01,"Wong, David T W","Wong, David T W","Huang, Tony Jun",,Exosome,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0003-1205-3313
RADx-rad,phs002544.v1.p1,1U18TR003778-01,"Wong, David T W","Wong, David T W","Kim, Yong",,Exosome,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0001-7224-0503
RADx-rad,phs002544.v1.p1,1U18TR003778-01,"Wong, David T W","Wong, David T W","Xie, Ya-Hong",,Exosome,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0002-0290-2206,https://orcid.org/0000-0003-0971-4280
RADx-rad,phs002546.v1.p1,1U01AA029328-01,"Vanegas-Gamboa, Diana Carolina","Vanegas-Gamboa, Diana Carolina",,,Automatic Detection & Tracing,https://orcid.org/0000-0001-9858-0960,https://orcid.org/0000-0001-9858-0960,
RADx-rad,phs002549.v1.p1,1R61HD105610-01,"Sethuraman, Usha","Sethuraman, Usha","Hicks, Steven Daniel",,PreVAIL kIds,https://orcid.org/0000-0002-5183-0325,https://orcid.org/0000-0002-5183-0325,https://orcid.org/0000-0002-9579-6798
RADx-rad,phs002549.v1.p1,1R61HD105610-01,"Sethuraman, Usha","Sethuraman, Usha","Zhu, Dongxiao",,PreVAIL kIds,https://orcid.org/0000-0002-5183-0325,https://orcid.org/0000-0002-5183-0325,https://orcid.org/0000-0002-0225-7817
RADx-rad,phs002550.v1.p1,1R44DE030841-01,"Young, Erik F","Young, Erik F","Shepard, Kenneth L",,Novel Biosensing and VOC,https://orcid.org/0000-0002-7980-1251,https://orcid.org/0000-0002-7980-1251,https://orcid.org/0000-0003-0665-6775
RADx-rad,phs002551.v1.p1,1R01MD016526-01,"Sinclair, Ka'Imi Alohilani","Dillard, Denise",,Dr. Sinclair passed away in 2022. Dr. Dillard was assigned as the data PI.,Multimodal Surveillance,,https://orcid.org/0000-0003-2969-7385,
RADx-rad,phs002553.v1.p1,1R61HD105590-01,"Burns, Jane C","Burns, Jane C",,,PreVAIL kIds,https://orcid.org/0000-0001-5679-1217,https://orcid.org/0000-0001-5679-1217,
RADx-rad,phs002561.v1.p1,4U54HL119145-08,"Loscalzo, Joseph","Shafiee, Hadi","Golan, David E",,Novel Biosensing and VOC,https://orcid.org/0000-0002-1153-8047,https://orcid.org/0000-0003-2240-7648,
RADx-rad,phs002561.v1.p1,4U54HL119145-08,"Loscalzo, Joseph","Shafiee, Hadi","Parrish, John A",,Novel Biosensing and VOC,https://orcid.org/0000-0002-1153-8047,https://orcid.org/0000-0003-2240-7648,
RADx-rad,phs002563.v1.p1,1U18TR003787-01,"Fu, Xiao-An","Fu, Xiao-An","Nantz, Michael H",,SCENT,https://orcid.org/0000-0001-6837-6512,https://orcid.org/0000-0001-6837-6512,https://orcid.org/0000-0003-1301-3399
