id,name,fullName,firstName,middleName,lastName,orcid,profileId
s2authorid:30460172,Graham R,Rishi Graham,Rishi,,Graham,,s2authorid:30460172
s2authorid:2125466387,Post K,Kai Post,Kai,,Post,,s2authorid:2125466387
s2authorid:47985309,Theriault Y,Yves Theriault,Yves,,Theriault,,s2authorid:47985309
s2authorid:16745810,Garretson AF,Aaron F Garretson,Aaron,F,Garretson,,s2authorid:16745810
s2authorid:2072483999,Hong N,Na Hong,Na,,Hong,,s2authorid:2072483999
s2authorid:2169822026,Ciofani D,Danielle Ciofani,Danielle,,Ciofani,,s2authorid:2169822026
s2authorid:143740901,Anwar MM,Mohd Mozharul Anwar,Mohd,Mozharul,Anwar,,s2authorid:143740901
s2authorid:40344211,Miguez MJ,Maria Jose Miguez,Maria,Jose,Miguez,,s2authorid:40344211
s2authorid:1792468,Cho H,Hyunghoon Cho,Hyunghoon,,Cho,orcid:0000-0002-2713-0150,s2authorid:1792468
s2authorid:1397184885,Quandelacy TM,Talia Quandelacy,Talia,M,Quandelacy,orcid:0000-0002-4059-577X,s2authorid:1397184885
