,profile_id,first_name,middle_name,last_name,is_contact_pi,full_name,title,appl_id,project_serial_num,last_name_initials
39,8590695,Anne,Marie,Mauricio,True,ANNE Marie MAURICIO,ASSOCIATE RESEARCH PROFESSOR,10546460,DA055982,Mauricio MA
91,10663300,Abraham,Aizer,Brody,True,Abraham Aizer Brody,,10673668,AG063546,Brody AA
88,8089527,Adriana,H,Tremoulet,False,Adriana H Tremoulet,PROFESSOR,10849054,HD105590,Tremoulet HA
52,7030491,Akshay,,Sood,True,Akshay  Sood,ASSOCIATE PROFESSOR,10686872,GM132175,Sood A
7,11124624,Alana,M.W.,LeBron,True,Alana MW LeBron,ASSISTANT PROFESSOR,10545085,MD017433,LeBron MA
4,10369380,Amanda,E,Tanner,False,Amanda E Tanner,,10545075,MD017431,Tanner EA
118,8336188,Amy,,McQueen,False,Amy  McQueen,PROFESSOR OF MEDICINE,10519246,CA235773,McQueen A
51,8336188,Amy,,McQueen,False,Amy  McQueen,PROFESSOR OF MEDICINE,10677019,CA235773,McQueen A
120,8336188,Amy,,McQueen,False,Amy  McQueen,PROFESSOR OF MEDICINE,10778919,CA235773,McQueen A
110,9350497,Amy,Stewart,Nunn,True,Amy Stewart Nunn,ASSISTANT PROFESSOR (RESEARCH),10692880,GM115677,Nunn SA
84,7039414,Ananth,V,Annapragada,True,Ananth V Annapragada,DIRECTOR OF BASIC RESEARCH,10847803,HD105593,Annapragada VA
10,7039414,Ananth,V,Annapragada,True,Ananth V Annapragada,DIRECTOR OF BASIC RESEARCH,10733689,HD105593,Annapragada VA
157,10961221,Andrew,Duane,Plunk,True,Andrew Duane Plunk,ASSOCIATE PROFESSOR,10737945,CA245716,Plunk DA
70,10961221,Andrew,Duane,Plunk,True,Andrew Duane Plunk,ASSOCIATE PROFESSOR,10737944,CA245716,Plunk DA
45,10961221,Andrew,Duane,Plunk,True,Andrew Duane Plunk,ASSOCIATE PROFESSOR,10626729,CA245716,Plunk DA
11,1945699,Anne,C,Spaulding,True,Anne C Spaulding,ASSOCIATE PROFESSOR,10546510,DA056000,Spaulding CA
118,1858271,Anne,Courtney,DeVries,True,Anne Courtney DeVries,PROFESSOR,10685582,GM104942,DeVries CA
15,8182241,Antoinette,M,Schoenthaler,True,Antoinette M Schoenthaler,ASSOCIATE PROFESSOR,10536608,MD013769,Schoenthaler MA
48,9198778,Audrey,Ragan,Odom John,True,Audrey Ragan Odom John,"CHIEF, INFECTIOUS DISEASES",10732879,HD105594,Odom John RA
82,9198778,Audrey,Ragan,Odom John,True,Audrey Ragan Odom John,"CHIEF, INFECTIOUS DISEASES",10847804,HD105594,Odom John RA
121,8788326,Benjamin,C.,Fogelgren,True,Benjamin C Fogelgren,ASSOCIATE PROFESSOR,10707363,MD007601,Fogelgren CB
109,9034272,Bernard,,Kwabi-Addo,True,Bernard  Kwabi-Addo,ASSOCIATE PROFESSOR,10597893,MD007597,Kwabi-Addo B
162,12178316,Bibiana ,Marie,Mancera,True,Bibiana  Marie Mancera,,10569080,MD007592,Mancera MB
20,78229422,Bradley,,Price,False,Bradley  Price,,10544766,MD017419,Price B
63,8965568,Brenda,Morissette,Joly,True,Brenda Morissette Joly,,10675594,GM115516,Joly MB
19,15325973,Brian,,Hendricks,True,Brian  Hendricks,ASSISTANT PROFESSOR OF EPIDEMIOLOGY,10544766,MD017419,Hendricks B
42,6763646,Brian,W,Mccrindle,False,Brian W McCrindle,,10733695,HD105591,Mccrindle WB
75,6763646,Brian,W,Mccrindle,False,Brian W McCrindle,,10847802,HD105591,Mccrindle WB
89,1948226,Bryan,O,Buchholz,False,Bryan O Buchholz,,10735580,HL143541,Buchholz OB
4,7116409,C Daniel,,Mullins,True,C Daniel  Mullins,PROFESSOR,10545060,MD017437,Mullins C
80,15486457,Camille,C,Cioffi,True,Camille C Cioffi,RESEARCH ASSOCIATE,10845930,DA057849,Cioffi CC
40,15486457,Camille,C,Cioffi,True,Camille C Cioffi,RESEARCH ASSOCIATE,10616911,DA057849,Cioffi CC
38,15486457,Camille,C,Cioffi,False,Camille C Cioffi,RESEARCH ASSOCIATE,10546460,DA055982,Cioffi CC
9,2563052,Carl,E,Allen,False,Carl E Allen,ASSOCIATE PROFESSOR,10733689,HD105593,Allen EC
83,2563052,Carl,E,Allen,False,Carl E Allen,ASSOCIATE PROFESSOR,10847803,HD105593,Allen EC
108,1892955,Carla,D,Williams,True,Carla D Williams,ASSOCIATE PROFESSOR OF MEDICINE,10597890,MD007597,Williams DC
43,16231045,Cedric,,Manlhiot,True,Cedric  Manlhiot,ASSISTANT PROFESSOR,10733695,HD105591,Manlhiot C
76,16231045,Cedric,,Manlhiot,True,Cedric  Manlhiot,ASSISTANT PROFESSOR,10847802,HD105591,Manlhiot C
102,8667619,Charles,Yen,Chiu,True,Charles Yen Chiu,ASSISTANT PROFESSOR,10847826,HD105618,Chiu YC
19,8667619,Charles,Yen,Chiu,True,Charles Yen Chiu,ASSISTANT PROFESSOR,10733698,HD105618,Chiu YC
50,8930516,Christina,,Gurnett,True,Christina  Gurnett,PROFESSOR OF NEUROLOGY,10631995,HD103525,Gurnett C
48,8930516,Christina,,Gurnett,True,Christina  Gurnett,PROFESSOR OF NEUROLOGY,10631989,HD103525,Gurnett C
22,12255899,Christina,Allen,Rostad,False,Christina Allen Rostad,,10733698,HD105618,Rostad AC
105,12255899,Christina,Allen,Rostad,False,Christina Allen Rostad,,10847826,HD105618,Rostad AC
6,12233776,Christoph,,Hornik,True,Christoph  Hornik,ASSISTANT PROFESSOR OF PEDIATRICS,10613790,MD018294,Hornik C
138,6519242,Christopher,C.,Beyrer,True,Christopher C Beyrer,,10612972,AI094189,Beyrer CC
115,1881570,Christopher,H.,Schmid,True,Christopher H Schmid,PROFESSOR OF BIOSTATISTICS,10692876,GM115677,Schmid HC
88,6490002,Christopher,M,Callahan,True,Christopher M Callahan,,10673680,AG063546,Callahan MC
103,1971652,Clifford,JAMES,Rosen,True,Clifford James Rosen,SENIOR SCIENTIST,10675577,GM115516,Rosen JC
61,1971652,Clifford,JAMES,Rosen,True,Clifford James Rosen,SENIOR SCIENTIST,10675578,GM115516,Rosen JC
86,10046004,Craig,G,Rusin,False,Craig G Rusin,ASSISTANT PROFESSOR (TENURE TRACK),10847803,HD105593,Rusin GC
12,10046004,Craig,G,Rusin,False,Craig G Rusin,ASSISTANT PROFESSOR (TENURE TRACK),10733689,HD105593,Rusin GC
142,1945507,Craig,Walter,Hendrix,True,Craig Walter Hendrix,,10612986,AI094189,Hendrix WC
30,10462511,Cui,,Yang,False,Cui  Yang,,10544767,MD017412,Yang C
17,11457621,Daniel,Benjamin,Horton,False,Daniel Benjamin Horton,,10733696,HD105619,Horton BD
100,11457621,Daniel,Benjamin,Horton,False,Daniel Benjamin Horton,,10847827,HD105619,Horton BD
65,1941114,Daniel,D,Karp,False,Daniel D Karp,,10654064,TR003167,Karp DD
148,6072446,Daniel,F,Sarpong,True,Daniel F Sarpong,,10544043,MD007595,Sarpong FD
161,6072446,Daniel,F,Sarpong,True,Daniel F Sarpong,,10677702,GM104940,Sarpong FD
134,1861871,David,A,Lawrence,False,David A Lawrence,,10847825,HD105613,Lawrence AD
57,1861871,David,A,Lawrence,False,David A Lawrence,,10733688,HD105613,Lawrence AD
64,2044107,David,A,Wohl,False,David A Wohl,CLINICAL ASSOCIATE PROFESSOR,10531539,AI069423,Wohl AD
91,10491166,David,D.,McManus,True,David D McManus,DR.,10735580,HL143541,McManus DD
59,10491166,David,D.,McManus,True,David D McManus,DR.,10735581,HL143541,McManus DD
60,10491166,David,D.,McManus,True,David D McManus,DR.,10735583,HL143541,McManus DD
66,1957205,David,D,McPherson,True,David D McPherson,PROFESSOR AND DIRECTOR,10654064,TR003167,McPherson DD
130,14677376,David,Eugene,Alexander,True,David Eugene Alexander,DIRECTOR OF COMPUTING SERVICES,10677688,GM104940,Alexander ED
45,1910312,David,FRANCIS,Wozniak,True,David Francis Wozniak,,10632011,HD103525,Wozniak FD
73,8244054,David,S.,DeGarmo,True,David S DeGarmo,RESEARCH ASSOCIATE PROFESSOR,10677562,DA048756,DeGarmo SD
9,1903140,David,W,Wetter,False,David W Wetter,PROFESSOR,10544764,MD017421,Wetter WD
125,9835713,Deborah,Hall,Bennett,True,Deborah Hall Bennett,,10611444,ES023513,Bennett HD
0,9436729,Denise,A,Dillard,True,Denise A Dillard,,10540229,MD016526,Dillard AD
106,15764086,Dennis,,Reidy,False,Dennis  Reidy,,10843497,DA051302,Reidy D
28,1975321,Donald,E,Nease,False,Donald E Nease,ASSOCIATE PROFESSOR,10545080,MD017436,Nease ED
79,9502968,Dongxiao,,Zhu,False,Dongxiao  Zhu,,10847809,HD105610,Zhu D
55,9502968,Dongxiao,,Zhu,False,Dongxiao  Zhu,,10733697,HD105610,Zhu D
