principal_investigator,orcid_id,orcid_note
Douglas Bell,https://orcid.org/0000-0001-7700-0840,
Lucila Ohno-Machado,https://orcid.org/0000-0002-8005-7327,
Hua Xu,https://orcid.org/0000-0002-5274-4672,
Shannon Stott,https://orcid.org/0000-0002-0349-0522,
Yong Kim,https://orcid.org/0000-0001-7224-0503,
Rodney Ho,https://orcid.org/0000-0001-5960-4288,
Mark Albers,https://orcid.org/0000-0001-7855-3455,
Pamela Dalton,https://orcid.org/0000-0003-2474-2888,
Valentina Parma,https://orcid.org/0000-0003-0276-7072,
Steven Munger,https://orcid.org/0000-0001-5624-0925,
Xing Wang,https://orcid.org/0000-0001-9930-3287,
Diana Vanegas-Gamboa,https://orcid.org/0000-0001-9858-0960,
Suzie Pun,https://orcid.org/0000-0003-1443-4996,
Iwijn De Vlaminck,https://orcid.org/0000-0001-6085-7311,
Charles Chiu,https://orcid.org/0000-0003-2915-2094,
David Lawrence,https://orcid.org/0000-0002-8940-9640,
Carl Allen,https://orcid.org/0000-0002-6625-739X,
Craig Rusin,https://orcid.org/0000-0003-3812-8133,
Patricia Keady,https://orcid.org/0000-0001-9612-0960,
Michael Snyder,https://orcid.org/0000-0003-0784-7987,
Matthew Scotch,https://orcid.org/0000-0001-5100-9724,
Otakuye Conroy-Ben,https://orcid.org/0000-0001-8086-1625,
Helena Solo-Gabriele,https://orcid.org/0000-0003-3390-3823,
Radislav Potyrailo,https://orcid.org/0000-0002-4823-1962,
Roberta DeBiasi,https://orcid.org/0000-0002-5854-8875,
Michael Lynes,https://orcid.org/0000-0003-0085-5394,
Hamid Bassiri,https://orcid.org/0000-0001-6532-8478,
Audrey Odom John,https://orcid.org/0000-0001-8395-8537,
Xudong Fan,https://orcid.org/0000-0003-0149-1326,
Christopher Mason,https://orcid.org/0000-0002-1850-1642,
Rachel Noble,https://orcid.org/0000-0001-9071-8312,
Maria Laura Gennaro,https://orcid.org/0000-0003-4801-3567,
Lawrence Kleinman,https://orcid.org/0000-0002-4024-2229,
Daniel Horton,https://orcid.org/0000-0002-1831-1339,
Steven Hicks,https://orcid.org/0000-0002-9579-6798,
Joseph Loscalzo,https://orcid.org/0000-0002-1153-8047,
Eliah Aronoff-Spencer,https://orcid.org/0000-0002-6279-5027,
Preeti Pancholi,,no ORICD found
Nicholas Kenyon,https://orcid.org/0000-0001-8839-4400,
Genevieve Boland,https://orcid.org/0000-0002-7522-6173,
Michael Nantz,https://orcid.org/0000-0003-1301-3399,
Rolf Halden,https://orcid.org/0000-0001-5232-7361,
Steven Libutti,https://orcid.org/0000-0003-2313-9809,
Renata Pasqualini,https://orcid.org/0000-0002-4155-9324,check
Reynold Panettieri,https://orcid.org/0000-0003-0834-4636,check
Kerry Hamilton,https://orcid.org/0000-0003-2991-7325,check
Anne-Catrin Uhlemann,https://orcid.org/0000-0002-9798-4768,
Stephan Schurer,https://orcid.org/0000-0002-5522-3389,check
Khalid Salaita,https://orcid.org/0000-0003-4138-3477,
John Cirrito,https://orcid.org/0000-0002-7196-8786,
Usha Sethuraman,https://orcid.org/0000-0002-5183-0325,check
Ananth Annapragada,https://orcid.org/0000-0002-3156-9617,
Sridevi Devaraj,,no ORICD found
Nagib Dahdah,,no ORICD found
Therese Giglia,https://orcid.org/0000-0002-1571-6330,check
Shelby Kutty,https://orcid.org/0000-0001-9428-0979,check
Cedric Manlhiot,https://orcid.org/0000-0001-9419-7681,check
Kenneth Shepard,https://orcid.org/0000-0003-0665-6775,check
Denise Dillard,https://orcid.org/0000-0003-2969-7385,check
Jesse Jokerst,https://orcid.org/0000-0003-2829-6408,
Susan Travers,https://orcid.org/0000-0001-8730-3618,check
Arvind Varsani,https://orcid.org/0000-0003-4111-2415,check
Sheila Grant,https://orcid.org/0000-0003-1009-2319,
Christina Rostad,,no ORICD found
Peter Kotanko,,no ORICD found
John Parrish,,no ORICD found
David Golan,,no ORICD found
Kevin Ward,,no ORICD found
Eduardo Reategui,https://orcid.org/0000-0002-8271-8205,
Ly Lee,https://orcid.org/0000-0002-3589-0280,check
Kai Wang,,no ORICD found
Cristina Davis,,no ORICD found
Xiao-An Fu,,no ORICD found
Samarjit Das,,no ORICD found
David Wong,,no ORICD found
Ya-Hong Xie,https://orcid.org/0000-0003-0971-4280,
Alan Johnson,,no ORICD found
William Turpin,https://orcid.org/0000-0002-3616-5216,
William Fay,https://orcid.org/0000-0001-9102-4216,
Richard Gerkin,,no ORICD found
John Hayes,,no ORICD found
Kartik Chandran,https://orcid.org/0000-0002-7526-3724,check
Scott Berry,,no ORICD found
Lu Peng,,no ORICD found
Joshua Smith,,no ORICD found
Juan Salazar,https://orcid.org/0000-0003-4112-6067,
Dongxiao Zhu,,no ORICD found
Brian McCrindle,https://orcid.org/0000-0001-6485-6551,check
Jane Burns,https://orcid.org/0000-0001-5679-1217,
Erik Young,,no ORICD found
Roya Khosravi-Far,,no ORICD found
Wensheng Guo,,no ORICD found
Yuedong Wang,,no ORICD found
Inyoul Lee,,no ORICD found
Tony Jun Huang,,no ORICD found
Jeff Wenzel,,no ORICD found
Xiaohu Yao,,no ORICD found
Jeffrey Ly,,no ORICD found
Ka'Imi Sinclair,,no ORICD found
