,profileId,coreProjectNum,projectSerialNum,isContactPi,fiscalYear,grantPi,fullName,firstName,middleName,lastName
0,1877373,U01DC019578,DC019578,True,2023,Dalton PH,Pamela Helen Dalton,Pamela,Helen,Dalton
12,9942278,R01DK130067,DK130067,False,2023,Kotanko P,Peter  Kotanko,Peter,,Kotanko
1,16392635,U01DC019578,DC019578,False,2023,Parma V,Valentina  Parma,Valentina,,Parma
22,7086603,U01HL152410,HL152410,False,2023,Grant SA,SHEILA Ann GRANT,Sheila,Ann,Grant
21,1897028,U01HL152410,HL152410,True,2023,Fay WP,William P Fay,William,P,Fay
20,9198778,R33HD105594,HD105594,True,2023,Odom John AR,Audrey Ragan Odom John,Audrey,Ragan,Odom John
19,10320851,R33HD105594,HD105594,False,2023,Bassiri H,Hamid  Bassiri,Hamid,,Bassiri
18,9603016,U24LM013755,LM013755,False,2023,Xu H,Hua  Xu,Hua,,Xu
16,10450719,U24LM013755,LM013755,False,2023,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer
15,12225947,U01AA029348,AA029348,True,2023,Wang X,Xing  Wang,Xing,,Wang
14,77827345,U01AA029348,AA029348,False,2023,Peng L,Lu  Peng,Lu,,Peng
13,2264716,R01DK130067,DK130067,True,2023,Wang Y,Yuedong  Wang,Yuedong,,Wang
17,1900244,U24LM013755,LM013755,True,2023,Ohno-Machado L,Lucila  Ohno-Machado,Lucila,,Ohno-Machado
11,1862771,R01DK130067,DK130067,False,2023,Guo W,Wensheng  Guo,Wensheng,,Guo
9,1862128,R01NR020105,NR020105,True,2023,Snyder MP,Michael P Snyder,Michael,P,Snyder
8,6570860,ZIAES103366,ES103366,True,2023,Bell D,Douglas  Bell,Douglas,,Bell
2,9436729,R01MD016526,MD016526,True,2023,Dillard DA,Denise A Dillard,Denise,A,Dillard
10,11288941,R01DE031114,DE031114,True,2023,Jokerst JV,Jesse Vincent Jokerst,Jesse,Vincent,Jokerst
97,14228211,R61HD105610,HD105610,False,2022,Hicks SD,Steven Daniel Hicks,Steven,Daniel,Hicks
92,14431376,U01LM013129,LM013129,False,2022,Varsani A,Arvind  Varsani,Arvind,,Varsani
94,14135419,R61HD105618,HD105618,False,2022,De Vlaminck I,Iwijn  De Vlaminck,Iwijn,,De Vlaminck
95,8717080,R61HD105618,HD105618,False,2022,DeBiasi RL,Roberta Lynn DeBiasi,Roberta,Lynn,DeBiasi
96,12255899,R61HD105618,HD105618,False,2022,Rostad CA,Christina Allen Rostad,Christina,Allen,Rostad
98,9832700,R61HD105610,HD105610,True,2022,Sethuraman U,Usha  Sethuraman,Usha,,Sethuraman
99,9502968,R61HD105610,HD105610,False,2022,Zhu D,Dongxiao  Zhu,Dongxiao,,Zhu
100,9717053,R01MD016526,MD016526,True,2022,Sinclair KA,Ka'Imi Alohilani Sinclair,Ka'Imi,Alohilani,Sinclair
101,6625336,U01DC019579,DC019579,True,2022,Albers MW,Mark W Albers,Mark,W,Albers
90,7698522,U01LM013129,LM013129,False,2022,Halden RU,Rolf U Halden,Rolf,U,Halden
91,8952899,U01LM013129,LM013129,True,2022,Scotch M,Matthew  Scotch,Matthew,,Scotch
86,1891108,U01HL150852,HL150852,True,2022,Panettieri RA,Reynold Alexander Panettieri,Reynold,Alexander,Panettieri
85,6406851,U01HL150852,HL150852,False,2022,Pasqualini R,Renata  Pasqualini,Renata,,Pasqualini
84,9845089,U01HL150852,HL150852,False,2022,Libutti SK,Steven K Libutti,Steven,K,Libutti
83,8547915,U18TR003775,TR003775,True,2022,Johnson AT,Alan T Johnson,Alan,T,Johnson
81,8956784,U18TR003793,TR003793,True,2022,Stott SL,Shannon L Stott,Shannon,L,Stott
80,11435055,U18TR003793,TR003793,False,2022,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland
126,2191319,R42DE030829,DE030829,True,2022,Khosravi-Far R,Roya  Khosravi-Far,Roya,,Khosravi-Far
125,11165737,U01DA053941,DA053941,True,2022,Solo-Gabriele H,Helena  Solo-Gabriele,Helena,,Solo-Gabriele
124,9136437,U01DA053941,DA053941,False,2022,Schurer SC,Stephan C Schurer,Stephan,C,Schurer
123,10379550,U01DA053941,DA053941,False,2022,Mason CE,Christopher Edward Mason,Christopher,Edward,Mason
122,8668731,U01AA029345,AA029345,True,2022,Salaita KS,Khalid S Salaita,Khalid,S,Salaita
121,10349485,U18TR003780,TR003780,True,2022,Das S,Samarjit  Das,Samarjit,,Das
120,6786579,R61HD105613,HD105613,True,2022,Salazar JC,Juan C Salazar,Juan,C,Salazar
119,1861871,R61HD105613,HD105613,False,2022,Lawrence DA,David A Lawrence,David,A,Lawrence
118,2431709,R61HD105613,HD105613,False,2022,Lynes MA,Michael A Lynes,Michael,A,Lynes
114,8667619,R61HD105618,HD105618,True,2022,Chiu CY,Charles Yen Chiu,Charles,Yen,Chiu
110,8553912,U01AA029331,AA029331,True,2022,Cirrito JR,John R Cirrito,John,R,Cirrito
109,77861758,R44DE030852,DE030852,True,2022,Yao X,Xiaohu  Yao,Xiaohu,,Yao
108,7989301,R61HD105590,HD105590,True,2022,Burns JC,Jane C Burns,Jane,C,Burns
107,6417303,U01HL152401,HL152401,True,2022,Ho RJ,Rodney Jy Ho,Rodney,Jy,Ho
34,10046004,R61HD105593,HD105593,False,2022,Rusin CG,Craig G Rusin,Craig,G,Rusin
46,77820001,U01DA053893,DA053893,True,2022,Wenzel J,Jeff  Wenzel,Jeff,,Wenzel
43,7745756,U18TR003795,TR003795,False,2022,Kenyon NJ,Nicholas J KENYON,Nicholas,J,Kenyon
42,2050145,U18TR003795,TR003795,True,2022,Davis CE,Cristina Elizabeth Davis,Cristina,Elizabeth,Davis
41,10311819,U01DA053903,DA053903,True,2022,Berry SM,Scott M Berry,Scott,M,Berry
40,77858219,U01DA053976,DA053976,False,2022,Hamilton K,Kerry  Hamilton,Kerry,,Hamilton
38,10833925,U01DA053976,DA053976,True,2022,Conroy-Ben O,Otakuye  Conroy-Ben,Otakuye,,Conroy-Ben
37,9445541,R44DE030841,DE030841,True,2022,Young EF,Erik F Young,Erik,F,Young
33,6787050,R61HD105593,HD105593,False,2022,Devaraj S,Sridevi  Devaraj,Sridevi,,Devaraj
48,11273504,U01AA029316,AA029316,False,2022,Smith JR,Joshua R Smith,Joshua,R,Smith
32,7039414,R61HD105593,HD105593,True,2022,Annapragada AV,Ananth V Annapragada,Ananth,V,Annapragada
31,2563052,R61HD105593,HD105593,False,2022,Allen CE,Carl E Allen,Carl,E,Allen
30,78421272,R44DE030842,DE030842,True,2022,Ly J,Jeffrey  Ly,Jeffrey,,Ly
29,8857241,U01AA029324,AA029324,True,2022,Potyrailo RA,Radislav A Potyrailo,Radislav,A,Potyrailo
27,77816868,U01AA029328,AA029328,True,2022,Vanegas-Gamboa DC,Diana Carolina Vanegas-Gamboa,Diana,Carolina,Vanegas-Gamboa
26,8485057,U18TR003812,TR003812,False,2022,Ward K,Kevin  Ward,Kevin,,Ward
25,8485696,U18TR003812,TR003812,True,2022,Fan X,Xudong  Fan,Xudong,,Fan
23,10129440,U01DA053899,DA053899,True,2022,Noble RT,Rachel Todd Noble,Rachel,Todd,Noble
47,8012149,U01AA029316,AA029316,True,2022,Pun SH,Suzie H Pun,Suzie,H,Pun
36,8656449,R44DE030841,DE030841,False,2022,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard
49,9493483,U18TR003778,TR003778,False,2022,Huang T,Tony Jun  Huang,Tony Jun,,Huang
73,16231045,R61HD105591,HD105591,True,2022,Manlhiot C,Cedric  Manlhiot,Cedric,,Manlhiot
50,6951767,U18TR003778,TR003778,False,2022,Kim Y,Yong  Kim,Yong,,Kim
71,10394059,R61HD105591,HD105591,False,2022,Kutty S,Shelby  Kutty,Shelby,,Kutty
70,1913135,R61HD105591,HD105591,False,2022,Giglia TM,Therese M Giglia,Therese,M,Giglia
69,77871541,R61HD105591,HD105591,False,2022,Dahdah N,Nagib  Dahdah,Nagib,,Dahdah
68,9733196,U01DA053949,DA053949,True,2022,Uhlemann A,Anne-Catrin  Uhlemann,Anne-Catrin,,Uhlemann
67,77859447,U01DA053949,DA053949,False,2022,Chandran K,Kartik  Chandran,Kartik,,Chandran
66,12364332,U18TR003807,TR003807,True,2022,Reategui E,Eduardo  Reategui,Eduardo,,Reategui
65,9896788,U18TR003807,TR003807,False,2022,Pancholi P,Preeti  Pancholi,Preeti,,Pancholi
64,8892513,U18TR003807,TR003807,False,2022,Lee LJ,Ly James Lee,Ly,James,Lee
63,14417875,U18TR003807,TR003807,False,2022,Lee I,Inyoul  Lee,Inyoul,,Lee
72,6763646,R61HD105591,HD105591,False,2022,McCrindle BW,Brian W McCrindle,Brian,W,McCrindle
51,6390810,U18TR003778,TR003778,True,2022,Wong DT,David T Wong,David,T,Wong
53,1861255,R61HD105619,HD105619,False,2022,Gennaro ML,Maria Laura Gennaro,Maria,Laura,Gennaro
54,11457621,R61HD105619,HD105619,False,2022,Horton DB,Daniel Benjamin Horton,Daniel,Benjamin,Horton
55,6601712,R61HD105619,HD105619,True,2022,Kleinman LC,Lawrence C Kleinman,Lawrence,C,Kleinman
52,12081117,U18TR003778,TR003778,False,2022,Xie Y,Ya-Hong  Xie,Ya-Hong,,Xie
57,10807170,U18TR003787,TR003787,True,2022,Fu X,Xiao-An  Fu,Xiao-An,,Fu
58,9972311,U18TR003787,TR003787,False,2022,Nantz MH,Michael H Nantz,Michael,H,Nantz
240,1896926,R01DC016112,DC016112,True,2021,Travers SP,Susan P Travers,Susan,P,Travers
233,15877233,U01HL152410,HL152410,False,2021,Turpin WM,William Monroe Turpin,William,Monroe,Turpin
151,8614812,U54HL119145,HL119145,False,2021,Parrish JA,John A Parrish,John,A,Parrish
150,1876423,U54HL119145,HL119145,True,2021,Loscalzo J,Joseph  Loscalzo,Joseph,,Loscalzo
149,1858811,U54HL119145,HL119145,False,2021,Golan DE,David E Golan,David,E,Golan
144,15312069,R42DE030832,DE030832,True,2021,Keady PB,Patricia Bea Keady,Patricia,Bea,Keady
143,10938548,U18TR003807,TR003807,False,2021,Wang K,Kai  Wang,Kai,,Wang
137,6293772,U01DC019573,DC019573,True,2021,Munger SD,Steven D Munger,Steven,D,Munger
136,9451051,U01DC019573,DC019573,False,2021,Hayes JE,John Edward Hayes,John,Edward,Hayes
135,7680168,U01DC019573,DC019573,False,2021,Gerkin RC,Richard C Gerkin,Richard,C,Gerkin
264,1880742,U01HL150852,HL150852,False,2019,Kohn JB,Joachim B Kohn,Joachim,B,Kohn
