id,authorId,orcid,name,fullName,firstName,middleName,lastName
profileid:8668731,49570843,orcid:0000-0003-4138-3477,Salaita KS,Khalid S Salaita,Khalid,S,Salaita
profileid:8956784,,orcid:0000-0002-0349-0522,Stott SL,Shannon L Stott,Shannon,L,Stott
profileid:9198778,,,Odom John AR,Audrey Ragan Odom John,Audrey,Ragan,Odom John
profileid:14135419,,,De Vlaminck I,Iwijn De Vlaminck,Iwijn,,De Vlaminck
profileid:1880742,,,Kohn JB,Joachim B Kohn,Joachim,B,Kohn
profileid:1896926,,orcid:0000-0001-8730-3618,Travers SP,Susan P Travers,Susan,P,Travers
profileid:78421272,,,Ly J,Jeffrey Ly,Jeffrey,,Ly
profileid:77861758,,,Yao X,Xiaohu Yao,Xiaohu,,Yao
profileid:6625336,,orcid:0000-0001-7855-3455,Albers MW,Mark W Albers,Mark,W,Albers
profileid:6570860,,orcid:0000-0001-7700-0840,Bell D,Douglas Bell,Douglas,,Bell
profileid:2191319,,,Khosravi-Far R,Roya Khosravi-Far,Roya,,Khosravi-Far
profileid:1876423,,orcid:0000-0002-1153-8047,Loscalzo J,Joseph Loscalzo,Joseph,,Loscalzo
profileid:6390810,,,Wong DT,David T Wong,David,T,Wong
profileid:77827345,,,Peng L,Lu Peng,Lu,,Peng
profileid:9445541,,,Young EF,Erik F Young,Erik,F,Young
profileid:9717053,,,Sinclair KA,Ka'Imi Alohilani Sinclair,Ka'Imi,Alohilani,Sinclair
profileid:8857241,,orcid:0000-0002-4823-1962,Potyrailo RA,Radislav A Potyrailo,Radislav,A,Potyrailo
profileid:9436729,,orcid:0000-0003-2969-7385,Dillard DA,Denise A Dillard,Denise,A,Dillard
profileid:7086603,,orcid:0000-0003-1009-2319,Grant SA,Sheila Ann Grant,Sheila,Ann,Grant
profileid:1897028,,orcid:0000-0001-9102-4216,Fay WP,William P Fay,William,P,Fay
profileid:10450719,,orcid:0000-0002-6279-5027,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer
profileid:1891108,,orcid:0000-0003-0834-4636,Panettieri RA,Reynold Alexander Panettieri,Reynold,Alexander,Panettieri
profileid:6406851,,orcid:0000-0002-4155-9324,Pasqualini R,Renata Pasqualini,Renata,,Pasqualini
profileid:9845089,,orcid:0000-0003-2313-9809,Libutti SK,Steven K Libutti,Steven,K,Libutti
profileid:11435055,,orcid:0000-0002-7522-6173,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland
profileid:6417303,,orcid:0000-0001-5960-4288,Ho RJ,Rodney Jy Ho,Rodney,Jy,Ho
profileid:10311819,,,Berry SM,Scott M Berry,Scott,M,Berry
profileid:77858219,,orcid:0000-0003-2991-7325,Hamilton K,Kerry Hamilton,Kerry,,Hamilton
profileid:10833925,,orcid:0000-0001-8086-1625,Conroy-Ben O,Otakuye Conroy-Ben,Otakuye,,Conroy-Ben
profileid:8656449,,orcid:0000-0003-0665-6775,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard
profileid:11273504,,,Smith JR,Joshua R Smith,Joshua,R,Smith
profileid:10394059,,orcid:0000-0001-9428-0979,Kutty S,Shelby Kutty,Shelby,,Kutty
profileid:77859447,,orcid:0000-0002-7526-3724,Chandran K,Kartik Chandran,Kartik,,Chandran
