authorId,author,fullName,firstName,middleName,lastName,doi
14596380,Moreira G,G Moreira,G,,Moreira,doi:10.1371/journal.pone.0290256
2232135785,Qian H,Hanyu Qian,Hanyu,,Qian,doi:10.1371/journal.pone.0290256
5237978,Datta S,S Datta,S,,Datta,doi:10.1371/journal.pone.0290256
4304955,Bliznyuk N,N Bliznyuk,N,,Bliznyuk,doi:10.1371/journal.pone.0290256
2232138886,Carpenter J,Jeremiah Carpenter,Jeremiah,,Carpenter,doi:10.1371/journal.pone.0290256
153507366,Dean D,Delphine Dean,Delphine,,Dean,doi:10.1371/journal.pone.0290256
5655264,McLamore E,E McLamore,E,,McLamore,doi:10.1371/journal.pone.0290256
30717980,Vanegas D,D Vanegas,D,,Vanegas,doi:10.1371/journal.pone.0290256
66615195,Ullah SF,S F Ullah,S,F,Ullah,doi:10.3390/bios12110938
14596380,Moreira G,G Moreira,G,,Moreira,doi:10.3390/bios12110938
5237978,Datta S,S Datta,S,,Datta,doi:10.3390/bios12110938
5655264,McLamore E,E McLamore,E,,McLamore,doi:10.3390/bios12110938
30717980,Vanegas D,D Vanegas,D,,Vanegas,doi:10.3390/bios12110938
14596380,Moreira G,G Moreira,G,,Moreira,doi:10.3389/fsens.2022.917380
1446635496,Casso-Hartmann L,L Casso-Hartmann,L,,Casso-Hartmann,doi:10.3389/fsens.2022.917380
5237978,Datta S,S Datta,S,,Datta,doi:10.3389/fsens.2022.917380
153507366,Dean D,Delphine Dean,Delphine,,Dean,doi:10.3389/fsens.2022.917380
5655264,McLamore E,E McLamore,E,,McLamore,doi:10.3389/fsens.2022.917380
30717980,Vanegas D,D Vanegas,D,,Vanegas,doi:10.3389/fsens.2022.917380
5655264,McLamore E,E McLamore,E,,McLamore,doi:10.3390/bios12020101
14596380,Moreira G,G Moreira,G,,Moreira,doi:10.3390/bios12020101
30717980,Vanegas D,D Vanegas,D,,Vanegas,doi:10.3390/bios12020101
5237978,Datta S,S Datta,S,,Datta,doi:10.3390/bios12020101
2090227509,Ghumra DP,Dishit P Ghumra,Dishit,P,Ghumra,doi:10.1021/acssensors.3c00512
34450801,Shetty N,Nishit Shetty,Nishit,,Shetty,doi:10.1021/acssensors.3c00512
71857371,McBrearty KR,Kevin R McBrearty,Kevin,R,McBrearty,doi:10.1021/acssensors.3c00512
12172833,Puthussery J,J Puthussery,J,,Puthussery,doi:10.1021/acssensors.3c00512
36049431,Sumlin B,B Sumlin,B,,Sumlin,doi:10.1021/acssensors.3c00512
1938742277,Gardiner WD,Woodrow D Gardiner,Woodrow,D,Gardiner,doi:10.1021/acssensors.3c00512
1938270813,Doherty BM,Brookelyn M Doherty,Brookelyn,M,Doherty,doi:10.1021/acssensors.3c00512
2222427326,Magrecki JP,Jordan P Magrecki,Jordan,P,Magrecki,doi:10.1021/acssensors.3c00512
40644627,Brody D,D Brody,D,,Brody,doi:10.1021/acssensors.3c00512
4231565,Esparza TJ,Thomas J Esparza,Thomas,J,Esparza,doi:10.1021/acssensors.3c00512
1401004949,O’Halloran JA,Jane A O’Halloran,Jane,A,O’Halloran,doi:10.1021/acssensors.3c00512
6813377,Presti R,R Presti,R,,Presti,doi:10.1021/acssensors.3c00512
38184485,Bricker T,T Bricker,T,,Bricker,doi:10.1021/acssensors.3c00512
1968280,Boon A,A Boon,A,,Boon,doi:10.1021/acssensors.3c00512
5375227,Yuede CM,Carla M Yuede,Carla,M,Yuede,doi:10.1021/acssensors.3c00512
5588350,Cirrito J,J Cirrito,J,,Cirrito,doi:10.1021/acssensors.3c00512
1852772,Chakrabarty R,R Chakrabarty,R,,Chakrabarty,doi:10.1021/acssensors.3c00512
12172833,Puthussery J,J Puthussery,J,,Puthussery,doi:10.1038/s41467-023-39419-z
2090227509,Ghumra DP,Dishit P Ghumra,Dishit,P,Ghumra,doi:10.1038/s41467-023-39419-z
71857371,McBrearty KR,Kevin R McBrearty,Kevin,R,McBrearty,doi:10.1038/s41467-023-39419-z
1938270813,Doherty BM,Brookelyn M Doherty,Brookelyn,M,Doherty,doi:10.1038/s41467-023-39419-z
36049431,Sumlin B,B Sumlin,B,,Sumlin,doi:10.1038/s41467-023-39419-z
31272705,Sarabandi A,A Sarabandi,A,,Sarabandi,doi:10.1038/s41467-023-39419-z
