authorId,author,fullName,firstName,middleName,lastName,doi
None, ONJEBAREMEABCFK,Olivia Neha Jordan E Brandi Anita Rachel Everardo Mary E Almendares Balachandran Cates Freeman Kambhampati ,Olivia,NehaJordanEBrandiAnitaRachelEverardoMaryEAlmendaresBalachandranCatesFreemanKambhampati,,doi:10.1038/s41586-023-05949-1
80827919,Abdullah N,Natasha Abdullah,Natasha,,Abdullah,doi:10.1016/j.cell.2021.05.002
2186155180,Abe N,Naomi Abe,Naomi,,Abe,doi:10.1038/s41467-022-30357-w
2186155180,Abe N,Naomi Abe,Naomi,,Abe,doi:10.1016/S2589-7500(22)00149-2
6865020,Abedalthagafi M,M Abedalthagafi,M,,Abedalthagafi,doi:10.1038/s41592-022-01444-z
2106780379,Abella BS,Benjamin S Abella,Benjamin,S,Abella,doi:10.3390/diagnostics13040707
2106799969,Abelson S,S Abelson,S,,Abelson,doi:10.1101/2023.07.12.23292570
2106799969,Abelson S,S Abelson,S,,Abelson,doi:10.1016/j.scitotenv.2023.164289
2106799969,Abelson S,S Abelson,S,,Abelson,doi:10.1016/j.scitotenv.2023.161423
2106799969,Abelson S,S Abelson,S,,Abelson,doi:10.1016/j.scitotenv.2022.159188
39601718,Abeysinghe R,Rashmie Abeysinghe,Rashmie,,Abeysinghe,doi:10.1109/ICHI54592.2022.00070
14086747,Abraão M,M Abraão,M,,Abraão,doi:10.1016/j.cell.2021.05.002
1397569699,Abu-shukair M,Mohammed Abu-shukair,Mohammed,,Abu-shukair,doi:10.1007/s00246-022-02844-w
3060040,Abudayyeh OO,Omar O Abudayyeh,Omar,O,Abudayyeh,doi:10.1016/j.cell.2021.05.002
46666749,Acosta S,Sebastián Acosta,Sebastián,,Acosta,doi:10.1038/s41390-022-02108-6
46666749,Acosta S,Sebastián Acosta,Sebastián,,Acosta,doi:10.1097/INF.0000000000003888
46666749,Acosta S,Sebastián Acosta,Sebastián,,Acosta,doi:10.3390/jcm12175435
20088680,Adams D,D Adams,D,,Adams,doi:10.3390/v13091803
20088680,Adams D,D Adams,D,,Adams,doi:10.1128/mra.00680-22
20088680,Adams D,D Adams,D,,Adams,doi:10.1128/mra.00681-22
20088680,Adams D,D Adams,D,,Adams,doi:10.3390/v13010074
20088680,Adams D,D Adams,D,,Adams,doi:10.1186/s12879-021-06526-5
2106106413,Adel A,Ait-hamlat Adel,Ait-hamlat,,Adel,doi:10.1016/j.cell.2021.05.002
1413745928,Adhikari H,H Adhikari,H,,Adhikari,doi:10.1128/jcm.00600-22
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1128/mra.00681-22
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1016/j.meegid.2022.105315
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1128/mra.00680-22
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1186/s12879-021-06526-5
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1016/j.watres.2021.117710
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.3390/v13010074
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1101/2021.01.22.21250320
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1128/mra.00337-22
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1111/irv.13057
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.3390/v13091803
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1101/2022.09.25.22280344
153263182,Adhikari S,S Adhikari,S,,Adhikari,doi:10.1016/S2666-5247(22)00289-0
2117420028,Aditya T,Tagore Aditya,Tagore,,Aditya,doi:10.1101/2021.06.13.21258795
2117420028,Aditya T,Tagore Aditya,Tagore,,Aditya,doi:10.1038/s41591-021-01593-2
2149601498,Adrian AT,Addison T Adrian,Addison,T,Adrian,doi:10.1038/s41596-021-00641-y
2097565592,Afaq M,M Afaq,M,,Afaq,doi:10.1016/j.cell.2021.05.002
2106107052,Afshin EE,Evan E Afshin,Evan,E,Afshin,doi:10.1016/j.cell.2021.05.002
2106107052,Afshin EE,Evan E Afshin,Evan,E,Afshin,doi:10.1016/j.xcrm.2022.100522
2106107052,Afshin EE,Evan E Afshin,Evan,E,Afshin,doi:10.7171/jbt.21-3203-019
2106107052,Afshin EE,Evan E Afshin,Evan,E,Afshin,doi:10.7171/jbt.21-3203-017
4338641,Afshinnekoo E,Ebrahim Afshinnekoo,Ebrahim,,Afshinnekoo,doi:10.1038/s41467-021-21361-7
2068404160,Agha HM,Hala M Agha,Hala,M,Agha,doi:10.1007/s00246-022-02844-w
47803729,Agyeman P,P Agyeman,P,,Agyeman,doi:10.1093/jpids/piad035
3849536,Ahsanuddin S,Sofia Ahsanuddin,Sofia,,Ahsanuddin,doi:10.1016/j.cell.2021.05.002
3309586,Aidelberg G,Guy Aidelberg,Guy,,Aidelberg,doi:10.7171/jbt.21-3203-017
49454392,Akalin A,A Akalin,A,,Akalin,doi:10.1186/s13059-021-02529-2
4864179,Akin D,D Akin,D,,Akin,doi:10.3390/bios13020298
16658619,Akiyoshi K,K Akiyoshi,K,,Akiyoshi,doi:10.1161/HYPERTENSIONAHA.120.16690
16658619,Akiyoshi K,K Akiyoshi,K,,Akiyoshi,doi:10.1371/journal.pone.0256973
16658619,Akiyoshi K,K Akiyoshi,K,,Akiyoshi,doi:10.1161/JAHA.122.028421
2106106455,Al-Quaddoomi FS,Faisal S Al-Quaddoomi,Faisal,S,Al-Quaddoomi,doi:10.1016/j.cell.2021.05.002
2161625929,Al-Saoud SYA,Sima Y Abu Al-Saoud,Sima,YAbu,Al-Saoud,doi:10.1007/s00246-022-02844-w
1398283711,Al-saloos H,Hesham Al-saloos,Hesham,,Al-saloos,doi:10.1007/s00246-022-02844-w
2106106221,Alam I,Ireen Alam,Ireen,,Alam,doi:10.1016/j.cell.2021.05.002
6878204,Alanio C,Cécile Alanio,Cécile,,Alanio,doi:10.1126/sciimmunol.abf7570
2055787798,Alavi A,Arash Alavi,Arash,,Alavi,doi:10.1101/2021.06.13.21258795
2117232175,Alavi A,Amir Alavi,Amir,,Alavi,doi:10.1101/2021.06.13.21258795
2055787798,Alavi A,Arash Alavi,Arash,,Alavi,doi:10.1038/s41591-021-01593-2
