id,name,url
dbgap:phs002744.v1.p1, Rolosense: An Innovative Platform for Automatic Mobile Phone Readout of Active SARS-CoV-2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002744.v1.p1
dbgap:phs002778.v1.p1, Microfluidic Isolation and Characterization of SARS-CoV-2 and Virus Related Exosomes,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002778.v1.p1
dbgap:phs002604.v1.p1,  Tracking the COVID-19 Epidemic in Sewage (TRACES),https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002604.v1.p1
dbgap:phs002583.v1.p1,  A Rapid Breathalyzer Diagnostics Platform for COVID-19,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002583.v1.p1
dbgap:phs002603.v1.p1, Diagnosis of MIS-C in Febrile Children,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002603.v1.p1
dbgap:phs002642.v1.p1,  A Confectionary-based Screening Tool for Assessing Chemosensory Loss in COVID-19 Patients,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002642.v1.p1
dbgap:phs002702.v1.p1,  A Scalable Aptamer-based Electrochemical Biosensor For Rapid Detection of SARS-CoV-2 From Saliva,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002702.v1.p1
dbgap:phs002685.v1.p1,  DNA Star SAS-CoV-2 Rapid Test,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002685.v1.p1
dbgap:phs003124.v1.p1,  Exosome-based Non-traditional Technologies Towards Multi-Parametric and Integrated Approaches for SARS-CoV-2,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003124.v1.p1
dbgap:phs002729.v1.p1,"  Improved Scalability, Sensitivity, and Interpretability of Pathogen Detection, Including SARS-CoV-2, in Wastewater using High-Throughput, Highly Multiplexed Digital Array PCR Technology",https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002729.v1.p1
dbgap:phs002964.v1.p1,  Longitudinal at Home Smell Testing to Detect Infection by SARS-C,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002964.v1.p1
dbgap:phs002782.v1.p1,  NIEHS Diagnostic-Prognostic RNAseq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002782.v1.p1
