id,name,abstract,narrative,fundingMechanism,awardCode,researchInitiative,subProject
U01AA029345,Rolosense: An innovative platform for automatic mobile phone readout of active SARS-CoV-2 particles,"The ultimate goal of this proposal is to develop a novel platform technology for automatic surveillance
and tracing of airborne SARS-CoV-2 virus particles in real time. The centerpiece of this proposal is the
“Rolosense” technology which leverages a DNA micromotor as the virus sensing and transduction
material (VSTM) that can be detected by a conventional smart phone camera. This provides both
geographical tracing and surveillance. Rolosense motor are comprised a DNA-coated spherical particle
(5 micrometer diameter) that hybridizes to a surface modified with complementary RNA. The particle
moves at speeds of over 1 micron/minute upon the addition of RNase H, which selectively hydrolyses
hybridized RNA but not single-stranded RNA. DNA motors coated with virus binding ligand (VBL) stall
in presence of SARS-CoV-2 virus particles. Because motors move autonomously for distances up to
millimeters without intervention, the assay is fully automated, and conventional steps such as viral
inactivation, RNA isolation and amplification are not required. The readout is performed using an
automated smart phone app for particle tracking without the need for a spectrophotometer or
fluorometer. Preliminary data shows realtime SARS-CoV-2 pseudovirus particle sensing. Milestones
include the screening and identification of high affinity and high specificity VBLs. Both aptamers and
antibody VBLs will be screening and validated. Simulations and experiments will be used to understand
the role of temperature and environmental conditions in modulating Rolosense performance.
Multivalent display of VBLs with DNA origami will enhance avidity. Finally, microfluidic chips with
airborne droplet capture will be implemented and tested. The work will be performed by a highly
interdisciplinary team with complementary expertise and a track-record of co-publications. PI Salaita
invented the Rolosense technology and has past experience in developing cell phone diagnostics and
synthetic motors. Co-I Melikian is an expert virologist, Co-I Heemstra is an expert at developing
aptamers for novel targets, Co-I Ke has extensive experience in DNA origami structures for avid target
binding and has co-authored work on Rolosense, Co-I Rajaraman and Primordia are experts at
microfluidic device development and commercialization. Our solution offers the potential to provide an
immediate solution to today’s urgent virus sensing and tracing needs.","Public Health Statement/Narrative
The aim of this proposal is to help reduce the spread of SARS-CoV-2 virus by
developing a surveillance technology that allows for realtime and fully automated viral
sensing. The approach uses a smart phone camera to detect the displacement of
motors that are highly sensitive to the SARS-CoV-2 virus.",Non-SBIR/STTR,U01,RADx-rad,Automatic Detection & Tracing
U18TR003793,Microfluidic Isolation and Characterization of SARS-CoV-2 and Virus Related Exosomes,"Robust, efficient and reliable testing for SARS-CoV-2 is extraordinarily challenging due to our lack of ultra-
sensitive assays and ever evolving knowledge of the virus. Standard PCR based assays still result in very high
false negative rates in the earliest days of infection. Microfluidic processing of clinical samples is low cost and
shows great promise for translating most liquid biopsy assay to the clinic. Our laboratory was one of the first to
apply microfluidic technologies for the isolation of both circulating tumor cells and exosomes in the blood of
patients with cancer. For SARS-CoV-2 patients, saliva, stool, and plasma are all thought to be potential resources
for both virus detection as well as other clinical biomarkers that might inform us of infection. Thus, for this U18,
we will optimize our exosome capture technology, the EVHB-Chip, for the isolation of intact SARS-CoV-2 virus,
testing its utility for each of these biofluids. To complete this work, we will complete a full clinical validation and
benchmarking of the assay. Once fully optimized, our detection assay will be compared against existing EUA
SARS-CoV-2 detection assay to determine detection sensitivity and specificity. Further, we plan to demonstrate
that the increased sensitivity and specificity enabled by our microfluidic device will result in earlier detection of
SARS-CoV-2, reducing false negatives in this testing window. At the completion of this work, we will have
collected the data training sets and submitted a full EUA plan that would enable the FDA’s authorization of our
test to be used in the clinic.","We will develop a SARS-CoV-2 detection assay using our existing microfluidic exosome isolation technology,
the EVHB-Chip. The high sensitivity and specificity of our technology allows for the isolation of rare nanoscale
vesicles from complex biofluids. Based on our early data, we believe it is ideally suited for the isolation of SARS-
CoV-2 virus particles and have established a strong team of collaborators to rapidly and efficiently lead us
through assay development, validation, and clinical integration.",Other Research-Related,U18,RADx-rad,Exosome
U01DA053949,Optimizing SARS-CoV-2 wastewater based surveillance in urban and university campus settings.,"The novel coronavirus SARS-CoV-2 is causing significant morbidity and mortality. Current approaches to SARS-
CoV-2 testing are costly, inconsistently implemented, and fail to rapidly identify evolving outbreaks. Innovative
surveillance programs are urgently needed to better measure baseline transmission dynamics and anticipate
new localized outbreaks. Wastewater based testing (WBT) has the potential to enable population level
surveillance, trigger earlier regional responses to acute outbreaks, and overcome barriers to individual testing
such as stigma and lack of access. WBT could therefore enable faster and cheaper pathogen detection and
improve population-level estimates of prevalence. Reliable capture approaches for this novel coronavirus using
WBT are currently undefined. Viral dynamics during wastewater transport must be considered, and correlation
of WBT with clinical testing must be systematically evaluated at multiple scales. Here, we propose to optimize
WBT surveillance protocols of waste streams at an urban university campus encompassing dorms, research
facilities and a tertiary care hospital, surrounding sewershed and wastewater treatment plant. We will detect
SARS-CoV-2 using qRT-PCR to estimate prevalence and viral panel-enriched metatranscriptomics to
characterize viral diversity. We will model case counts using normalized WBT data and develop point-of-use
microfluidics systems for WBT. Our team of investigators is uniquely positioned for this study, with expertise in
infectious diseases, epidemiology, microbial characterization using WBT at national scales, and point-of-care
testing. We will implement three complimentary specific aims. In Aim 1, we will optimize (1a) collection and
processing to determine sensitivity and safety of WBT. This includes grab vs. composite sampling;) filtration- vs.
precipitation-based enrichment; and viral inactivation protocols. We will further optimize scale and frequency of
sampling (1b) at the building/sewer pit, campus, sewershed, and WWTP, and across various frequencies.
Presence of SARS-CoV-2 will be ascertained by qRT-PCR and long-read spiked-primer enriched
metatranscriptomics. WBT results will be integrated with clinical case-loads, existing surveillance cohorts and
expanded employee surveillance. In Aim 2. we will improve modeling of SARS-CoV-2 case dynamics using
extrapolated WBT data and site-specific normalization factors. We will correlate modeled building-, campus- and
community-level case counts with existing clinical incidence data and campus surveillance using ensemble
Kalman filter (EnKF) dynamic modeling incorporating both qRT-PCR and metatranscriptomics data. We will
compare normalization methods factoring in wastewater residence time, per capita viral load equivalents
(PCVLEs), and other waste flow parameters to reduce model error. Finally, in Aim 3, we will adapt point-of-use
testing capabilities using microfluidics based on optimized WBT protocols. We will apply existing RADx
development of a photothermal amplification system for SARS-CoV-2 detection to optimized WBT practices. We
will develop a modular system for WBT samples and determine assay detection thresholds using viral controls.","Wastewater based testing (WBT) holds great promise for cost-effective population-level surveillance and
transmission tracking of SARS-CoV-2, but optimal sampling modalities and protocols are unknown. Taking
advantage of a diverse inner city urban campus encompassing undergraduate and postgraduate dorms,
research buildings, and medical facilities, we will optimize WBT surveillance strategies of waste streams at the
building level, surrounding sewersheds and wastewater treatment plants and model case counts using
normalized WBT data. We will further leverage metatranscriptomics for rapid identification of SARS-CoV-2
transmission chains and develop point-of-use microfluidics systems for timely WBT.",Non-SBIR/STTR,U01,RADx-rad,Wastewater
U01HL150852,Rutgers Optimizes Innovation (ROI) Program,"The Rutgers Optimizes Innovation (ROI) Program will provide a vertically integrated mechanism to swiftly
uncover promising biomedical product discoveries, and seamlessly guide the innovator through the
commercialization process with financial and regulatory, IP protection, mentoring, management, and educational
resources. Drawing on the biomedical/bioengineering sciences across Rutgers and on the solid expertise of the
Office of Research Commercialization (ORC), we will integrate our strengths to uncover, develop and
commercialize discoveries that improve health and well-being, and train the next generation of innovators. The
ROI Program comprises a cooperative of Rutgers University and affiliates that includes the schools of
engineering, arts and sciences, schools of medicine, nursing, dental science, public health, and research
institutes and centers, industries, incubators, funders and policymakers.
 All entities provide significant resources to the ROI Program and have contributed to the planning, development,
and leadership composition of the cooperative. Based in one of the most productive states with respect to
commercialization of health-related discoveries (assets), the ROI Program will serve as a platform for translating
biomedical discoveries into marketable products. Our REACH Hub will identify innovative health-related
technologies by using the expertise of the NCI-funded Cancer Institute of NJ (CINJ), the Rutgers Institute for
Translational Medicine and Science (RITMS, lead of the NCATS-funded CTSA) and the Biomaterials Center,
funded by NSF and DOD. These technologies will be evaluated for commercialization feasibility, especially with
respect to providing precision therapy to tackle an unmet need created by the heterogeneity of disease
pathogenesis and response to treatment. Addressing such unmet needs will provide assets tailored to patients’
therapeutic responses that ultimately improves population health.
 The ROI Program will provide a streamlined and harmonized infrastructure that will enhance commercialization
of academic discovery. The educational programs embedded in the ROI Program will provide our innovators
with hands-on, practical training in product development and start-up requirements, while also training a diverse
workforce in biomedical innovation by leveraging, coalescing and repurposing current resources, including I-
Corps and iJOBS. Implementing a unique project management and mentoring program comprised of industry,
disease-state and content experts will also enhance innovators’ opportunity for success. Embracing a Fail Fast
Philosophy assures the technology will be developed in a cost-effective and market-conscious manner. Across
all Aims, the ROI Program will collaborate with the REACH Consortium to build on their advances in platforms for
commercialization, technology review, and training, and provide the Consortium with our expertise and commitment to
serve as an active participating member. Importantly, evaluation milestones and metrics are planned in all aspects
of the ROI Program to assure continuous quality assessment, improvement and sustainability.","The Rutgers Optimizes Innovation (ROI) Program will accelerate the transformation of the most promising
research discoveries into marketed products designed to provide the right therapy to the right patient at
the right time. By identifying and advancing the most promising and transformative therapeutic and diagnostic
technologies in precision medicine, ROI will impact the health and well-being of a diverse society.",Non-SBIR/STTR,U01,RADx-rad,Novel Biosensing and VOC
R33HD105594,Diagnosis of MIS-C in febrile children,"The recent emergence of SARS-CoV-2 and resultant pandemic of COVID-19 disease has overwhelmed global
health systems and led to over 200,000 American deaths to date. While initial reports suggested that SARS-
CoV-2 infection in children was generally benign, a novel post-inflammatory syndrome known as multisystem
inflammatory syndrome in children (MIS-C) has now been described. MIS-C in children is characterized by fever,
systemic inflammation, and end-organ involvement, and the majority of patients are IgG seropositive for SARS-
CoV-2. Because the clinical features of MIS-C overlap with other infections and inflammatory disorders, new
strategies for diagnosis of MIS-C in febrile children are urgently needed. Our immediate objective (during the
R61 phase) is to determine the reproducible changes in breath, urine, and salivary volatile composition in chil-
dren diagnosed with MIS-C. We will integrate these discovery studies with clinical and immunological profiling to
develop (during R61 phase) and validate (during R33 phase) a novel and much-needed MIS-C diagnostic, which
is expected to have a major impact on care of febrile children. Our long-term goal to develop a diagnostic strategy
to distinguish children with MIS-C from children with other causes of fever. Supported by our strong preliminary
data that indicate our expertise and feasibility of this strategy, our objectives will be met through three specific
aims: 1) Characterize breath biomarkers in children with MIS-C (R61); 2) Relate breath VOC changes to virolog-
ical, disease severity, and immunological features of MIS-C (R61); and 3) Validate our novel MIS-C diagnostic
for clinical use (R33). The proposed research is significant, because we will progress in development of new,
much-needed MIS-C rapid diagnostic tool.","This research is highly relevant to public health because there is no current validated
diagnostic tool for the post-SARS-CoV-2 inflammatory disorder in children, MIS-C. Our
proposal will develop a new strategy to diagnose this disorder, which will directly
improve care of children with fever and help support future clinical studies.",Non-SBIR/STTR,R33,RADx-rad,PreVAIL kIds
R01DC016112,A confectionary-based screening tool for assessing chemosensory loss in COVID 19 patients.,"The goals of this Emergency Competitive Revision are to develop (Aim 1) and deploy (Aim 2) a
novel, objective, psychophysical smell and taste screening test to detect the onset of COVID 19
in at-risk populations. Complementary to the temperature screening procedures currently in use,
this tool is predicted to promote early identification of COVID onset leading to better prognoses
and the early implementation of protocols to prevent community spread. Our specific plan is to
use a hard-candy containing different combinations of tastants and flavors that are easy to
distribute to a large population. During the development phase (Aim 1), this novel test will be
compared with the NIH toolbox to assess the acceptability and efficacy of the two methods. We
expect that the hard-candy assessment will be at least as efficacious in detecting chemosensory
loss but more acceptable to subjects. Aim 2 will entail daily self-monitoring of chemosensory
function in at-risk populations with data tracked through a secure online portal. The novelty of
this confectionary-based test is that it provides standard stimuli that can yield objective
measures of both the qualitative and quantitative aspects of smell (aroma and flavor) and taste
(sweet and sour). Moreover, both orthonasal and retronasal olfactory function will be
independently assessed. The test can be self-administered and the familiar, pleasant nature of
the stimuli should facilitate a high compliance rate, allowing for continuous monitoring over
prolonged periods. Moreover, the test is rapid and inexpensive. Data will be incorporated into a
predictive model for COVID 19 and assessed using AOC analyses of sensitivity and specificity.
OSU is a leading large public land grant university with a varied population of students, faculty,
and support staff that includes all health care specialties. These characteristics, along with the
University-mandated regular PCR testing of students and staff makes it a perfect site to perform
this urgent research.","This research will develop a novel screening tool for COVID 19 using chemosensory testing. Loss of smell
and/or taste is a predictive symptom of COVID 19 but current tests are not optimal for routine
assessment in large populations of individuals. The development of a confectionary-based test will allow
routine self-monitoring of chemosensory function using objective, sensitive, simple and inexpensive
procedures to identify potential cases of COVID 19.",Non-SBIR/STTR,R01,RADx-rad,Chemosensory Testing
R44DE030842,A scalable aptamer-based electrochemical biosensor for rapid detection of SARS-CoV-2 from saliva,"The COVID-19 pandemic is a critical global public health emergency and many countries are failing to contain
the virus's spread due to slow and insufficient testing. While several diagnostic methods are now available, most
tests are either reagent-intensive and must be done in CLIA-approved labs, making them expensive and slow to
report results, or rapid and inexpensive, but potentially lacking in sensitivity. In the U.S., seriously ill and high-
risk patients have been prioritized for testing, causing states to miss mild and asymptomatic cases, some of
which are the most effective spreaders of the virus. However, expanding testing has been a challenge due to
shortages of sampling swabs and key reagents for nucleic acid amplification-based tests, which are the most
popular option. Testing capabilities must be expanded exponentially to enable mass population-level testing of
all patients, healthcare workers and their families, other critical key workers, and the wider community in order
to bring the pandemic under control. mPOD proposes to expand testing capabilities through a novel biosensor
that will use oligonucleotide molecules called aptamers to bind to unique sites on the SARS-CoV-2 virus.
Aptamers have similar binding affinities to antibodies, but due to their smaller size, they are more agile, making
them particularly suited for high-specificity binding. To complete the test, a saliva sample will be loaded onto a
test strip containing aptamers immobilized onto gold electrodes. The gold-electrode test strip will be inserted into
the mPOD DTCT, a proprietary electrochemical test platform where virus-bound aptamers will be detected via
cyclic voltammetry, triggering a positive result. The result is sent wirelessly via a mobile app, which sends
encrypted data on to the cloud for storage and to public health agencies for enhanced data collection, tracking,
and tracing of COVID-19. The app will also include a backend database to help businesses, manufacturers,
schools, and large institutions track tested individuals' results and tailor specific public health responses. In order
to further develop this technology and enable rapid deployment for timely COVID-19 intervention, mPOD plans
to 1) Select SARS-CoV-2-specific aptamers for use in electrode test strips with an optimized signal-to-noise ratio
performance, 2) Demonstrate sensitivity and specificity of a low-cost, miniaturized potentiostat test strip for use
as a COVID-19 POC or OTC diagnostic, 3) Complete and test a fully-fledged digital infrastructure for data
collection, tracking, and tracing of COVID-19 test results via the mPOD mobile app. This non-traditional approach
will provide new testing capabilities with the potential to report results faster than standard RT-PCR tests and
with greater accuracy and sensitivity compared to existing antigen-based diagnostics. Furthermore, once the
system is developed, test strips with customized aptamers can be developed for rapid diagnosis of other
pathogens, including future emerging pandemics, via routine POC and OTC testing.","Worldwide, healthcare systems are struggling to diagnose new COVID-19 cases in a timely manner and to
perform effective contract tracing to contain the pandemic. New diagnostic methods that are rapid, affordable,
sensitive, and don't draw from already overtaxed supply chains are necessary to meet the urgent need for point-
of-care and over-the-counter testing. To help meet this need, mPOD aims to develop a low-cost, aptamer-based
biosensor platform to detect the SARS-CoV-2 virus in saliva, complete with an app that will facilitate data
collection, tracking, and tracing of COVID-19 cases.",SBIR/STTR,R44,RADx-rad,Novel Biosensing and VOC
R44DE030852,Designer DNA Nanostructure Based Biosensing for Rapid COVID19 Detection and Monitoring using Saliva Sample,"A Novel Saliva-Based Aptamer Detection Assay for SARS-CoV-2 Infection
(RFA-OD-20-021 STTR Application)
Automated, rapid diagnostics with little sample collection and preparation are needed to identify
and trace affected persons in times when hyper-infectious pathogens cause pandemics. Frequent,
low cost and highly scalable testing is the only way to gain visibility on the magnitude of the
pandemic and ultimately control the spread of the disease. We propose the development of a
unique system that can cheaply and readily detect SARS-CoV-2 in saliva samples. The
development of a system that uses saliva present an opportunity to readily test patients using a
sample that is easily collected and harbors high concentration of viral particles.
The SARS-CoV-2 pandemic has predominantly affected individuals with pre-existing conditions
such as clotting disorders, diabetes, hypertension or other chronic diseases. Patients with these
pre-existing conditions who then are infected have exacerbated symptoms and complications that
can lead to death. For example, many patients that have succumbed to SARS-CoV-2 infection
have developed blood clots that have impaired pulmonary or cardiac function and ultimately
cardiac failure. A rapid diagnostic using easily collected samples (e.g. saliva) would allow for
infections to be identified sooner, therapies to be administered quicker, treatment to be monitored,
and ultimately leading to fewer individuals that succumb to the infection.
We outline a novel DNA Star biosensing approach based on the fact that viruses, such as SARS-
CoV-2, express unique spatial patterns of antigens on their surfaces, facilitating multivalent
binding to host cells for infection. These configurations of epitopes drive the high sensitivity and
specificity of our assay. Based on this naturally occurring binding mechanism, we developed a
rational design approach producing pattern matching designer DNA architecture for viral sensing.
A proof-of-concept Dengue virus (DENV) rapid diagnostics was developed to demonstrate its
power: DENV surface antigens present the most complex geometric pattern among all known
pathogens, a DNA star linked 10-aptamers nanostructure that offers polyvalent, spatial DENV-
epitope pattern matching interactions has provided high DENV-binding avidity and specificity,
increasing affinity by ~1,000× compared to the conventional aptamer approach which relies on
monovalent aptamer-epitope interactions. Our POCT diagnostics detected intact DENV virions in
patient samples with PCR equivalent sensitivity in <2 mins at a cost <$0.15.
Current RT-PCR molecular test are suited to large, centralized laboratories, and difficult to scale
for rapid testing of samples and delivery of results to clinicians and patients. Immunoassay tests
have lower sensitivity, and patients need to develop a response to the virus in order to detect the
antibody response. Our “DNA star” biosensor-based rapid diagnostics will provide the
infrastructure for real time SARS-CoV-2 diagnostics that is easy to use (instrument-free), faster
(sample to results in minutes) and cost effective (~$3 per test).","Direct detection of viral pathogens is needed to help limit the spread of extremely contagious and lethal infectious
agents. Our aptamer-based detection assay and instrument will provide a mechanism to detect low levels of the
SARS-CoV-2 viral pathogen with an automatic system requiring minimal effort for sample collection and no
sample preparation and the system will be built to analyze at least 7 other sample types (plasma, whole blood,
urine, nasopharyngeal samples, etc.) and the detection modalities will have additional detection aptamers in
order to detect additional viral pathogens. This assay system can be deployed to monitor people not only in
hospital and senior living facilities, but in schools, airports and other locations so that infected and asymptomatic
individuals can be identified, quarantined, and treated to limit the spread of the pathogen.",SBIR/STTR,R44,RADx-rad,Novel Biosensing and VOC
U18TR003780,Exosome-based Non-traditional Technologies Towards Multi-Parametric and Integrated Approaches for SARS-CoV-2,,"The urgent need to curb the spread of SARS-CoV-2 demands availability of diagnostics that are more rapid,
accurate, sensitive and affordable than qPCR and antibody tests. Current qPCR tests are specific and sensitive,
but lengthy turnaround times limit interventions against disease spread. Antibody testing is faster, but false-
positive/negative rates are high. Here, we propose to repurpose extracellular vesicle (EV) separation and
characterization technologies into a fully automated SARS-CoV-2 testing platform that is low-cost, accurate,
sensitive, rapid (within 3 h), and practical. The device will be optimized to analyze blood, saliva, and
nasopharyngeal (NP) swabs collected at home, without risking transmission to healthcare workers. The sample
is processed with an automated device developed with Sognef, and data are transferred to the Sognef servers
for analysis through an app that can be downloaded to any smart device. This technology is similar to Abbott's
recently launched BinaxNOW COVID-19 Ag Card, but has the advantage of multiparametric detection of viral
RNA (vRNA), including Spike (S) and Nucleocapsid (N) protein-coding regions, plus a panel of host EV
microRNAs (exomiRs) that reveals infection even when viral loads are below detectable limits. This approach
will decrease false-positives/negatives, the major limitation of antigen/antibody tests. Examine relationships of
miRNA panels with characteristics such as: symptomatic vs asymptomatic, qPCR-determined viral load,
biological sex, age (including pediatric populations), and comorbidities.
 We will optimize a COVID-19 device that uses simple bind-elute microfluidics for sample separation
followed by electrical, probe-based detection of i) all validated exomiRs from Aim 1 and ii) our three conserved
vRNAs. We envision that the device will be used first for either finger-pricked blood or saliva, followed, if positive,
by an optional confirmatory second test of NP swab viral transport medium (VTM) that could be done with the
same device. We will then test the device in multiple centers worldwide in two phases: Phase 1 – every center
will perform a double-blinded validation using their biorepository specimen, and Phase 2 – in a β-testing phase,
we will provide a large number of devices to healthcare providers for regular testing of workers.",Other Research-Related,U18,RADx-rad,Exosome
U01DA053899,"Improved scalability, sensitivity, and interpretability of pathogen detection, including SARS-CoV-2, in wastewater using high-throughput, highly multiplexed digital array PCR technology","Presently, the application of molecular technology such as RT-qPCR and digital PCR (dPCR) to quantify
SARS-CoV-2 and related targets in wastewater is cumbersome, time consuming, and costly. While
progress has been made on the development of methods and the interpretation of data, much remains to
be improved for the technology to be used as a public health management tool. A major drawback in the
current approaches are 1) the lack of streamlined and consistent pre-analytical processing steps, 2)
coverage across the relevant targets requires a high number of reactions (>20) from any single sample to
provide quantitative information, and 3) a lack of vision on the development of a pathogen/marker panel,
much like those used in clinical arenas, for interpretation of the data across different states, regions and
nations. The goal of this project will be to successfully navigate these three limitations toward
development of a public health warning system that is not dependent on clinical testing and has the ability
to rapidly address novel pathogen threats in the future.","The proposed research will enhance the usefulness of wastewater monitoring for pathogens to address
public health responses to the COVID-19 pandemic as well as future pandemics. We will demonstrate
highly multiplexed digital PCR assays on wastewater collected from multiple diverse geographical regions
that will be comprehensive, rapid, low cost, and quantitative for monitoring the circulation of disease.
Moreover, the assay system will be able to address novel pathogens by allowing rapid aggregation of
genetic tests for these new targets.",Non-SBIR/STTR,U01,RADx-rad,Wastewater
