id,name,city,state,country,ror,uei,duns,geonames,url
ror:00j4k1h63,National Institute of Environmental Health Sciences,,,UNITED STATES,ror:00j4k1h63,,,geonames:4464368,https://ror.org/00j4k1h63
ror:03wevmz92,Harvard Medical School,BOSTON,MA,UNITED STATES,ror:03wevmz92,uei:JDLVAVGYJQ21,duns:047006379,geonames:4930956,https://ror.org/03wevmz92
ror:04b6nzv94,Brigham and Women's Hospital,BOSTON,MA,UNITED STATES,ror:04b6nzv94,uei:QN6MS4VN7BD1,duns:030811269,geonames:4930956,https://ror.org/04b6nzv94
ror:002pd6e78,Massachusetts General Hospital,BOSTON,MA,UNITED STATES,ror:002pd6e78,uei:FLJ7DQKLL226,duns:073130411,geonames:4930956,https://ror.org/002pd6e78
ror:03v76x132,Yale University,NEW HAVEN,CT,UNITED STATES,ror:03v76x132,uei:FL6GV84CKN57,duns:043207562,geonames:4839366,https://ror.org/03v76x132
ror:03gds6c39,The University of Texas Health Science Center at Houston,HOUSTON,TX,UNITED STATES,ror:03gds6c39,uei:ZUFBNVZ587D4,duns:800771594,geonames:4699066,https://ror.org/03gds6c39
ror:0168r3w48,"University of California, San Diego",LA JOLLA,CA,UNITED STATES,ror:0168r3w48,uei:UYTTZT6G9DT1,duns:804355790,geonames:5391811,https://ror.org/0168r3w48
ror:02nkdxk79,Virginia Commonwealth University,RICHMOND,VA,UNITED STATES,ror:02nkdxk79,uei:MLQFL4JSSAA9,duns:105300446,geonames:4781708,https://ror.org/02nkdxk79
ror:00jmfr291,University of Michigan–Ann Arbor,ANN ARBOR,MI,UNITED STATES,ror:00jmfr291,uei:GNJ7BBP73WE9,duns:073133571,geonames:4984247,https://ror.org/00jmfr291
uei:N2KLACCRD6D5,"Nanomaterial Innovation, Ltd",COLUMBUS,OH,UNITED STATES,,uei:N2KLACCRD6D5,duns:167239057,geonames:4509177,
ror:00rs6vg23,The Ohio State University,COLUMBUS,OH,UNITED STATES,ror:00rs6vg23,uei:DLWBSLWAJWR1,duns:832127323,geonames:4509177,https://ror.org/00rs6vg23
ror:05rrcem69,"University of California, Davis",DAVIS,CA,UNITED STATES,ror:05rrcem69,uei:TX2DAGQPENZ5,duns:047120084,geonames:5341704,https://ror.org/05rrcem69
ror:01ckdn478,University of Louisville,LOUISVILLE,KY,UNITED STATES,ror:01ckdn478,uei:E1KJM4T54MK6,duns:057588857,geonames:4299276,https://ror.org/01ckdn478
ror:00za53h95,Johns Hopkins University,BALTIMORE,MD,UNITED STATES,ror:00za53h95,uei:FTMTDMBR29C7,duns:001910777,geonames:4347778,https://ror.org/00za53h95
ror:046rm7j60,"University of California, Los Angeles",LOS ANGELES,CA,UNITED STATES,ror:046rm7j60,uei:RN64EPNH8JC6,duns:092530369,geonames:5368361,https://ror.org/046rm7j60
ror:00py81415,Duke University,DURHAM,NC,UNITED STATES,ror:00py81415,uei:TP7EK8DZV6N5,duns:044387793,geonames:4464368,https://ror.org/00py81415
ror:00b30xv10,University of Pennsylvania,PHILADELPHIA,PA,UNITED STATES,ror:00b30xv10,uei:GM1XX56LEP58,duns:042250712,geonames:4560349,https://ror.org/00b30xv10
ror:03efmqc40,Arizona State University,TEMPE,AZ,UNITED STATES,ror:03efmqc40,uei:NTLHJXM55KZ6,duns:943360412,geonames:5317058,https://ror.org/03efmqc40
ror:01a4gqp27,Harry S. Truman Memorial Veterans' Hospital,COLUMBIA,MO,UNITED STATES,ror:01a4gqp27,uei:LW3JC7WVEP78,duns:082263013,geonames:4381982,https://ror.org/01a4gqp27
ror:00cvxb145,University of Washington,SEATTLE,WA,UNITED STATES,ror:00cvxb145,uei:HD1WMN6945W6,duns:605799469,geonames:5809844,https://ror.org/00cvxb145
ror:05vt9qd57,"Rutgers, The State University of New Jersey",Newark,NJ,UNITED STATES,ror:05vt9qd57,uei:YVVTQD8CJC79,duns:090299830,geonames:5101717,https://ror.org/05vt9qd57
ror:01mdfdm06,Monell Chemical Senses Center,PHILADELPHIA,PA,UNITED STATES,ror:01mdfdm06,uei:DJCTQA1PR7Q4,duns:088812565,geonames:4560349,https://ror.org/01mdfdm06
ror:02y3ad647,University of Florida,GAINESVILLE,FL,UNITED STATES,ror:02y3ad647,uei:NNFQH1JAPEP3,duns:969663814,geonames:4156404,https://ror.org/02y3ad647
ror:05wthjx48,New York University School of Medicine,NEW YORK,NY,UNITED STATES,ror:05wthjx48,uei:M5SZJ6VHUHN8,duns:121911077,geonames:5128581,https://ror.org/05wthjx48
ror:04p491231,Pennsylvania State University,UNIVERSITY PARK,PA,UNITED STATES,ror:04p491231,uei:NPM2J7MSCF61,duns:003403953,geonames:5213681,https://ror.org/04p491231
ror:03v1z6488,Inter Tribal Council of Arizona,PHOENIX,AZ,UNITED STATES,ror:03v1z6488,uei:QVBEM11FYF47,duns:089993752,geonames:5308655,https://ror.org/03v1z6488
ror:01esghr10,Columbia University Irving Medical Center,NEW YORK,NY,UNITED STATES,ror:01esghr10,uei:QHF5ZZ114M72,duns:621889815,geonames:5128581,https://ror.org/01esghr10
ror:02dgjyy92,University of Miami,CORAL GABLES,FL,UNITED STATES,ror:02dgjyy92,uei:F8THLJQSAF93,duns:052780918,geonames:4151871,https://ror.org/02dgjyy92
