id,name,presenters,presentationUrl,videoUrl
ae27baf31f88698080a13283b977faf3,Longitudinal smell testing to detect SARS-CoV-2 infection,Mark Albers,,
962bcba40d8ae53eb9f6adfa92e476de,"The ArOMa-T, a tool for rapid, adaptive testing of olfactory thresholds",John Hayes,,
78e761fdd29e4c8a1435e1bd0fd35a6e,Confectionary-based screening tool to assess chemosensory loss in COVID-19 patients,Christopher Simons,,
006458e5ddfa0299c0c5310106b61ce8,SCENTinel and other screening tools for remote testing,Pamela Dalton,,
cf197e5a369f99145e525699089439fb,COVID-19 detection through scent analysis with a compact GC device,Xudong Fan,,
41d9821dc51fbf7d26d14dc4ac2a0d54,A portable breath analyzer system to screen for SARS-CoV-2 infection,Xiao-An Fu,,
b34c0f79e57273e641c23e7d0bbb1260,Breath volatile organic compounds (VOCs) for COVID-19 diagnostics,Cristina Davis,,
86b10ec18eb309bd09ed0638ad6d9c00,"Using rapid, self-administered testing to assess chemosensory function",John Hayes,,
002020d8308198d8e23841d67a2edb0d,Longitudinal At Home Remote Olfactory Testing to Detect SARS-CoV2,Mark Albers,,
a23b1fda417d14d96568b59149b581db,A Confectionary-based Screening Tool for Assessing Chemosensory Loss in COVID-19 Patients,Susan Travers,,
196b5e9e60db4a56653e5bfe4088ff6c,"SCENTinel: A multi-function, rapid olfactory test for universal chemosensory screening",Pam Dalton,,
2f6ce5a27dc0873adb8aee54a031f864,Recognize: POC Multiomic in Under 30 Min *Novel Biosensing and Volatile Organic Compounds,Roya Khosravi-Far,,
7b1273c98d51747cf3ff3517d0902ace,AFS/SERS Saliva-based SARS-CoV-2 Earliest Infection and Antibodies Detection,David Wong,,
87c52f38de7c103cec4136e7d9f0dfef,Microfluidic Detection of SARS-CoV-2 and Virus-Related Extracellular Vesicles to Predict Outcome in COVID-19 Patients,Daniel Rabe,,
afbf97d05cd5222b18e70e20a76eea03,Multi-parametric Integrated Molecular Detection of SARS-CoV-2 from Biofluids by Adapting Single Exosome Characterization Technologies,Truc Nguyen,,
447c9ff722838ff46f88755f6b6c6033,Saliva Based Comprehensive Respiratory Pathogen Detection,Samarjit Das,,
0b3a9f88141569ab51fa2a002f7d0dc8,Developing a digital array PCR system for simultaneous quantification of 20+ pathogens from a single wastewater sample,Rachel Noble,,
a5f169b21d92d017f8c6a2cab4a20607,Wastewater surveillance uncovers regional diversity and dynamics of SARS-CoV-2 variants across nine states in the USA,Matthew Scotch,,
e37e6d0a5606a8d09e56c1f12909c4de,Missouri sewershed surveillance project and how to get the most information from your sample,Marc Johnson,,
e496deec48c9ecd440fe1c99cb51748e,Wastewater Assessment for Coronavirus in Kentucky: Implementing Enhanced Surveillance Technology,Scott Berry,,
00acfead28f382d8640dcdca2449a8e1,Establishing environmental metatranscriptomics standards to inform public health policy decisions,Helena Solo-Gabriele|Stephan Schurer|Christopher Mason,,
05443495855af318d806a203c1309b36,Optimizing SARS-CoV-2 wastewater based surveillance in urban and university campus settings,Medini Annavajhala,,
ebe96494e5e7677f5599a97573c25657,Wastewater Analysis of SARS-CoV-2 in Tribal Wastewater,Otakuye Conroy-Ben|Rolf Halden|Kerry Hamilton,,
7217db25215aa422371b0bdf98dd4e85,Early detection of COVID-19 in dialysis facilities using multi-modal data sources,Yuedong Wang,,
1aa3358df5557548113ed2959ca60737,Moana: Alternative Surveillance of COVID-19 in a Unique Population (MASC-UP),Erin Morgan,,
f7fe65ac42fc9263cd49d36532f9af09,Validation of Smart Masks for Surveillance of COVID-19,Jesse Jokerst,,
92df32fb144dced48bd770579d61f8a3,Deep Data Needs and Challenges in Precision Health,Amir Bahmani,,
eb467dd4067d74d835df24b2ad5cfb24,Data Core Highlights,Hua Xu,,
6ad53abe568f13e34747e71d3079d5fe,Diagnostic Core Highlights ,Eliah Aronoff-Spencer,,
