id,name,abstract,journal,year,type,doi,pmId,pmcId,url
doi:10.1371/journal.pone.0290256,A capacitive laser-induced graphene based aptasensor for SARS-CoV-2 detection in human saliva.,"SARS-CoV-2 virus induced CoVID-19 pandemic has accelerated the development of diagnostic tools. Devices integrated with electrochemical biosensors may be an interesting alternative to respond to the high demand for testing, particularly in contexts where access to standard detection technologies is lacking. Aptamers as recognition elements are useful due to their stability, specificity, and sensitivity to binding target molecules. We have developed a non-invasive electrochemical aptamer-based biosensor targeting SARS-CoV-2 in human saliva. The aptamer is expected to detect the Spike protein of SARS-CoV-2 wildtype and its variants. Laser-induced graphene (LIG) electrodes coated with platinum nanoparticles were biofunctionalized with a biotin-tagged aptamer. Electrochemical Impedance Spectroscopy (EIS) for BA.1 sensing was conducted in sodium chloride/sodium bicarbonate solution supplemented with pooled saliva. To estimate sensing performance, the aptasensor was tested with contrived samples of UV-attenuated virions from 10 to 10,000 copies/ml. Selectivity was assessed by exposing the aptasensor to non-targeted viruses (hCoV-OC43, Influenza A, and RSV-A). EIS data outputs were further used to select a suitable response variable and cutoff frequency. Capacitance increases in response to the gradual loading of the attenuated BA.1. The aptasensor was sensitive and specific for BA.1 at a lower viral load (10-100 copies/ml) and was capable of discriminating between negative and positive contrived samples (with strain specificity against other viruses: OC43, Influenza A, and RSV-A). The aptasensor detected SARS-CoV-2 with an estimated LOD of 1790 copies/ml in contrived samples. In human clinical samples, the aptasensor presents an accuracy of 72%, with 75% of positive percent of agreement and 67% of negative percent of agreement. Our results show that the aptasensor is a promising candidate to detect SARS-CoV-2 during early stages of infection when virion concentrations are low, which may be useful for preventing the asymptomatic spread of CoVID-19.",PloS one,2023,primary,doi:10.1371/journal.pone.0290256,37590297,PMC10434860,https://doi.org/doi:10.1371/journal.pone.0290256
doi:10.3390/bios12110938,An Experimental Framework for Developing Point-of-Need Biosensors: Connecting Bio-Layer Interferometry and Electrochemical Impedance Spectroscopy.,"Biolayer interferometry (BLI) is a well-established laboratory technique for studying biomolecular interactions important for applications such as drug development. Currently, there are interesting opportunities for expanding the use of BLI in other fields, including the development of rapid diagnostic tools. To date, there are no detailed frameworks for implementing BLI in target-recognition studies that are pivotal for developing point-of-need biosensors. Here, we attempt to bridge these domains by providing a framework that connects output(s) of molecular interaction studies with key performance indicators used in the development of point-of-need biosensors. First, we briefly review the governing theory for protein-ligand interactions, and we then summarize the approach for real-time kinetic quantification using various techniques. The 2020 PRISMA guideline was used for all governing theory reviews and meta-analyses. Using the information from the meta-analysis, we introduce an experimental framework for connecting outcomes from BLI experiments (KD, kon, koff) with electrochemical (capacitive) biosensor design. As a first step in the development of a larger framework, we specifically focus on mapping BLI outcomes to five biosensor key performance indicators (sensitivity, selectivity, response time, hysteresis, operating range). The applicability of our framework was demonstrated in a study of case based on published literature related to SARS-CoV-2 spike protein to show the development of a capacitive biosensor based on truncated angiotensin-converting enzyme 2 (ACE2) as the receptor. The case study focuses on non-specific binding and selectivity as research goals. The proposed framework proved to be an important first step toward modeling/simulation efforts that map molecular interactions to sensor design.",Biosensors,2022,primary,doi:10.3390/bios12110938,36354449,PMC9688365,https://doi.org/doi:10.3390/bios12110938
doi:10.3389/fsens.2022.917380,Development of a Biosensor Based on Angiotensin-Converting Enzyme II for Severe Acute Respiratory Syndrome Coronavirus 2 Detection in Human Saliva.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the novel coronavirus responsible for COVID-19. Infection in humans requires angiotensin-converting enzyme II (hACE2) as the point of entry for SARS-CoV-2. PCR testing is generally definitive but expensive, although it is highly sensitive and accurate. Biosensor-based monitoring could be a low-cost, accurate, and non-invasive approach to improve testing capacity. We develop a capacitive hACE2 biosensor for intact SARS-CoV-2 detection in saliva. Laser-induced graphene (LIG) electrodes were modified with platinum nanoparticles. The quality control of LIG electrodes was performed using cyclic voltammetry. Truncated hACE2 was used as a biorecognition element and attached to the electrode surface by streptavidin-biotin coupling. Biolayer interferometry was used for qualitative interaction screening of hACE2 with UV-attenuated virions. Electrochemical impedance spectroscopy (EIS) was used for signal transduction. Truncated hACE2 binds wild-type SARS-CoV-2 and its variants with greater avidity than human coronavirus (common cold virus). The limit of detection (LoD) is estimated to be 2,960 copies/ml. The detection process usually takes less than 30 min. The strength of these features makes the hACE2 biosensor a potentially low-cost approach for screening SARS-CoV-2 in non-clinical settings with high demand for rapid testing (for example, schools and airports).",Frontiers in sensors,2022,primary,doi:10.3389/fsens.2022.917380,35992634,PMC9386735,https://doi.org/doi:10.3389/fsens.2022.917380
doi:10.3390/bios12020101,Context-Aware Diagnostic Specificity (CADS).,Rapid detection of proteins is critical in a vast array of diagnostic or monitoring applications [...].,Biosensors,2022,primary,doi:10.3390/bios12020101,35200361,PMC8869940,https://doi.org/doi:10.3390/bios12020101
doi:10.1021/acssensors.3c00512,Rapid Direct Detection of SARS-CoV-2 Aerosols in Exhaled Breath at the Point of Care.,"Airborne transmission via virus-laden aerosols is a dominant route for the transmission of respiratory diseases, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Direct, non-invasive screening of respiratory virus aerosols in patients has been a long-standing technical challenge. Here, we introduce a point-of-care testing platform that directly detects SARS-CoV-2 aerosols in as little as two exhaled breaths of patients and provides results in under 60 s. It integrates a hand-held breath aerosol collector and a llama-derived, SARS-CoV-2 spike-protein specific nanobody bound to an ultrasensitive micro-immunoelectrode biosensor, which detects the oxidation of tyrosine amino acids present in SARS-CoV-2 viral particles. Laboratory and clinical trial results were within 20% of those obtained using standard testing methods. Importantly, the electrochemical biosensor directly detects the virus itself, as opposed to a surrogate or signature of the virus, and is sensitive to as little as 10 viral particles in a sample. Our platform holds the potential to be adapted for multiplexed detection of different respiratory viruses. It provides a rapid and non-invasive alternative to conventional viral diagnostics.",ACS sensors,2023,primary,doi:10.1021/acssensors.3c00512,37498298,PMC10463275,https://doi.org/doi:10.1021/acssensors.3c00512
doi:10.1038/s41467-023-39419-z,Real-time environmental surveillance of SARS-CoV-2 aerosols.,"Real-time surveillance of airborne SARS-CoV-2 virus is a technological gap that has eluded the scientific community since the beginning of the COVID-19 pandemic. Offline air sampling techniques for SARS-CoV-2 detection suffer from longer turnaround times and require skilled labor. Here, we present a proof-of-concept pathogen Air Quality (pAQ) monitor for real-time (5 min time resolution) direct detection of SARS-CoV-2 aerosols. The system synergistically integrates a high flow (~1000 lpm) wet cyclone air sampler and a nanobody-based ultrasensitive micro-immunoelectrode biosensor. The wet cyclone showed comparable or better virus sampling performance than commercially available samplers. Laboratory experiments demonstrate a device sensitivity of 77-83% and a limit of detection of 7-35 viral RNA copies/m3 of air. Our pAQ monitor is suited for point-of-need surveillance of SARS-CoV-2 variants in indoor environments and can be adapted for multiplexed detection of other respiratory pathogens of interest. Widespread adoption of such technology could assist public health officials with implementing rapid disease control measures.",Nature communications,2023,primary,doi:10.1038/s41467-023-39419-z,37429842,PMC10333287,https://doi.org/doi:10.1038/s41467-023-39419-z
doi:10.1101/2023.02.27.530294,Rolosense: Mechanical detection of SARS-CoV-2 using a DNA-based motor.,"Assays detecting viral infections play a significant role in limiting the spread of diseases such as SARS-CoV-2. Here we present Rolosense, a virus sensing platform that transduces the motion of synthetic DNA-based motors transporting 5-micron particles on RNA fuel chips. Motors and chips are modified with virus-binding aptamers that lead to stalling of motion. Therefore, motors perform a ""mechanical test"" of viral target and stall in the presence of whole virions which represents a unique mechanism of transduction distinct from conventional assays. Rolosense can detect SARS-CoV-2 spiked in artificial saliva and exhaled breath condensate with a sensitivity of 10 3 copies/mL and discriminates among other respiratory viruses. The assay is modular and amenable to multiplexing, as we demonstrated one-pot detection of influenza A and SARS-CoV-2. As a proof-of-concept, we show readout can be achieved using a smartphone camera in as little as 15 mins without any sample preparation steps. Taken together, mechanical detection using Rolosense can be broadly applied to any viral target and has the potential to enable rapid, low-cost, point-of-care screening of circulating viruses.",bioRxiv : the preprint server for biology,2023,primary,doi:10.1101/2023.02.27.530294,36909543,PMC10002644,https://doi.org/doi:10.1101/2023.02.27.530294
doi:10.1038/s41565-022-01080-w,Chemical-to-mechanical molecular computation using DNA-based motors with onboard logic.,"DNA has become the biomolecule of choice for molecular computation that may one day complement conventional silicon-based processors. In general, DNA computation is conducted in individual tubes, is slow in generating chemical outputs in response to chemical inputs and requires fluorescence readout. Here, we introduce a new paradigm for DNA computation where the chemical input is processed and transduced into a mechanical output using dynamic DNA-based motors operating far from equilibrium. We show that DNA-based motors with onboard logic (DMOLs) can perform Boolean functions (NOT, YES, AND and OR) with 15 min readout times. Because DMOLs are micrometre-sized, massive arrays of DMOLs that are identical or uniquely encoded by size and refractive index can be multiplexed and perform motor-to-motor communication on the same chip. Finally, DMOL computational outputs can be detected using a conventional smartphone camera, thus transducing chemical information into the electronic domain in a facile manner, suggesting potential applications.",Nature nanotechnology,2022,primary,doi:10.1038/s41565-022-01080-w,35347272,PMC9119907,https://doi.org/doi:10.1038/s41565-022-01080-w
doi:10.1002/adma.202006600,Programmable Mechanically Active Hydrogel-Based Materials.,"Programmable mechanically active materials (MAMs) are defined as materials that can sense and transduce external stimuli into mechanical outputs or conversely that can detect mechanical stimuli and respond through an optical change or other change in the appearance of the material. Programmable MAMs are a subset of responsive materials and offer potential in next generation robotics and smart systems. This review specifically focuses on hydrogel-based MAMs because of their mechanical compliance, programmability, biocompatibility, and cost-efficiency. First, the composition of hydrogel MAMs along with the top-down and bottom-up approaches used for programming these materials are discussed. Next, the fundamental principles for engineering responsivity in MAMS, which includes optical, thermal, magnetic, electrical, chemical, and mechanical stimuli, are considered. Some advantages and disadvantages of different responsivities are compared. Then, to conclude, the emerging applications of hydrogel-based MAMs from recently published literature, as well as the future outlook of MAM studies, are summarized.","Advanced materials (Deerfield Beach, Fla.)",2021,primary,doi:10.1002/adma.202006600,34309076,PMC8595730,https://doi.org/doi:10.1002/adma.202006600
doi:10.1002/anie.202107660,Mechanically Triggered Hybridization Chain Reaction.,"Cells transmit piconewton forces to receptors to mediate processes such as migration and immune recognition. A major challenge in quantifying such forces is the sparsity of cell mechanical events. Accordingly, molecular tension is typically quantified with high resolution fluorescence microscopy, which hinders widespread adoption and application. Here, we report a mechanically triggered hybridization chain reaction (mechano-HCR) that allows chemical amplification of mechanical events. The amplification is triggered when a cell receptor mechanically denatures a duplex revealing a cryptic initiator to activate the HCR reaction in situ. Importantly, mechano-HCR enables direct readout of pN forces using a plate reader. We leverage this capability and measured mechano-IC50 for aspirin, Y-27632, and eptifibatide. Given that cell mechanical phenotypes are of clinical importance, mechano-HCR may offer a convenient route for drug discovery, personalized medicine, and disease diagnosis.",Angewandte Chemie (International ed. in English),2021,primary,doi:10.1002/anie.202107660,34242462,PMC8390435,https://doi.org/doi:10.1002/anie.202107660
