id,name,fullName,firstName,middleName,lastName,orcid,profileId
profileid:8668731,Salaita KS,Khalid S Salaita,Khalid,S,Salaita,orcid:0000-0003-4138-3477,profileid:8668731
profileid:8956784,Stott SL,Shannon L Stott,Shannon,L,Stott,orcid:0000-0002-0349-0522,profileid:8956784
profileid:9198778,Odom John AR,Audrey Ragan Odom John,Audrey,Ragan,Odom John,orcid:0000-0001-8395-8537,profileid:9198778
profileid:1896926,Travers SP,Susan P Travers,Susan,P,Travers,orcid:0000-0001-8730-3618,profileid:1896926
profileid:78421272,Ly J,Jeffrey Ly,Jeffrey,,Ly,,profileid:78421272
profileid:77861758,Yao X,Xiaohu Yao,Xiaohu,,Yao,,profileid:77861758
profileid:6625336,Albers MW,Mark W Albers,Mark,W,Albers,orcid:0000-0001-7855-3455,profileid:6625336
profileid:6570860,Bell D,Douglas Bell,Douglas,,Bell,orcid:0000-0001-7700-0840,profileid:6570860
profileid:2191319,Khosravi-Far R,Roya Khosravi-Far,Roya,,Khosravi-Far,,profileid:2191319
profileid:1876423,Loscalzo J,Joseph Loscalzo,Joseph,,Loscalzo,orcid:0000-0002-1153-8047,profileid:1876423
profileid:6390810,Wong DT,David T Wong,David,T,Wong,,profileid:6390810
profileid:77827345,Peng L,Lu Peng,Lu,,Peng,,profileid:77827345
profileid:9445541,Young EF,Erik F Young,Erik,F,Young,,profileid:9445541
profileid:9717053,Sinclair KA,Ka'Imi Alohilani Sinclair,Ka'Imi,Alohilani,Sinclair,,profileid:9717053
profileid:8857241,Potyrailo RA,Radislav A Potyrailo,Radislav,A,Potyrailo,orcid:0000-0002-4823-1962,profileid:8857241
profileid:7086603,Grant SA,Sheila Ann Grant,Sheila,Ann,Grant,orcid:0000-0003-1009-2319,profileid:7086603
profileid:1897028,Fay WP,William P Fay,William,P,Fay,orcid:0000-0001-9102-4216,profileid:1897028
profileid:10450719,Aronoff-Spencer ES,Eliah S Aronoff-Spencer,Eliah,S,Aronoff-Spencer,orcid:0000-0002-6279-5027,profileid:10450719
profileid:9436729,Dillard DA,Denise A Dillard,Denise,A,Dillard,orcid:0000-0003-2969-7385,profileid:9436729
profileid:14135419,De Vlaminck I,Iwijn De Vlaminck,Iwijn,,De Vlaminck,orcid:0000-0001-6085-7311,profileid:14135419
profileid:1891108,Panettieri RA,Reynold Alexander Panettieri,Reynold,Alexander,Panettieri,orcid:0000-0003-0834-4636,profileid:1891108
profileid:6406851,Pasqualini R,Renata Pasqualini,Renata,,Pasqualini,orcid:0000-0002-4155-9324,profileid:6406851
profileid:9845089,Libutti SK,Steven K Libutti,Steven,K,Libutti,orcid:0000-0003-2313-9809,profileid:9845089
profileid:11435055,Boland GM,Genevieve Marie Boland,Genevieve,Marie,Boland,orcid:0000-0002-7522-6173,profileid:11435055
profileid:6417303,Ho RJ,Rodney Jy Ho,Rodney,Jy,Ho,orcid:0000-0001-5960-4288,profileid:6417303
profileid:10311819,Berry SM,Scott M Berry,Scott,M,Berry,,profileid:10311819
profileid:77858219,Hamilton K,Kerry Hamilton,Kerry,,Hamilton,orcid:0000-0003-2991-7325,profileid:77858219
profileid:10833925,Conroy-Ben O,Otakuye Conroy-Ben,Otakuye,,Conroy-Ben,orcid:0000-0001-8086-1625,profileid:10833925
profileid:8656449,Shepard KL,Kenneth L Shepard,Kenneth,L,Shepard,orcid:0000-0003-0665-6775,profileid:8656449
profileid:11273504,Smith JR,Joshua R Smith,Joshua,R,Smith,,profileid:11273504
profileid:10394059,Kutty S,Shelby Kutty,Shelby,,Kutty,orcid:0000-0001-9428-0979,profileid:10394059
profileid:77859447,Chandran K,Kartik Chandran,Kartik,,Chandran,orcid:0000-0002-7526-3724,profileid:77859447
profileid:9896788,Pancholi P,Preeti Pancholi,Preeti,,Pancholi,,profileid:9896788
profileid:14417875,Lee I,Inyoul Lee,Inyoul,,Lee,,profileid:14417875
profileid:9493483,Huang T,Tony Jun Huang,Tony Jun,,Huang,,profileid:9493483
profileid:12081117,Xie Y,Ya-Hong Xie,Ya-Hong,,Xie,orcid:0000-0003-0971-4280,profileid:12081117
profileid:6951767,Kim Y,Yong Kim,Yong,,Kim,orcid:0000-0001-7224-0503,profileid:6951767
profileid:15877233,Turpin WM,William Monroe Turpin,William,Monroe,Turpin,orcid:0000-0002-3616-5216,profileid:15877233
profileid:8614812,Parrish JA,John A Parrish,John,A,Parrish,,profileid:8614812
profileid:15312069,Keady PB,Patricia Bea Keady,Patricia,Bea,Keady,orcid:0000-0001-9612-0960,profileid:15312069
