id,name,fullName,firstName,middleName,lastName,orcid,profileId
s2authorid:80827919,Abdullah N,Natasha Abdullah,Natasha,,Abdullah,,
s2authorid:2186155180,Abe N,Naomi Abe,Naomi,,Abe,,
s2authorid:6865020,Abedalthagafi M,M Abedalthagafi,M,,Abedalthagafi,,
s2authorid:2106780379,Abella BS,Benjamin S Abella,Benjamin,S,Abella,,
s2authorid:2106799969,Abelson S,S Abelson,S,,Abelson,,
s2authorid:39601718,Abeysinghe R,Rashmie Abeysinghe,Rashmie,,Abeysinghe,,
s2authorid:14086747,Abraão M,M Abraão,M,,Abraão,,
s2authorid:1397569699,Abu-shukair M,Mohammed Abu-shukair,Mohammed,,Abu-shukair,,
s2authorid:3060040,Abudayyeh OO,Omar O Abudayyeh,Omar,O,Abudayyeh,,
s2authorid:46666749,Acosta S,Sebastián Acosta,Sebastián,,Acosta,,
s2authorid:20088680,Adams D,D Adams,D,,Adams,,
s2authorid:2106106413,Adel A,Ait-hamlat Adel,Ait-hamlat,,Adel,,
s2authorid:1413745928,Adhikari H,H Adhikari,H,,Adhikari,,
s2authorid:153263182,Adhikari S,S Adhikari,S,,Adhikari,,
s2authorid:2117420028,Aditya T,Tagore Aditya,Tagore,,Aditya,,
s2authorid:2149601498,Adrian AT,Addison T Adrian,Addison,T,Adrian,,
s2authorid:2097565592,Afaq M,M Afaq,M,,Afaq,,
s2authorid:2106107052,Afshin EE,Evan E Afshin,Evan,E,Afshin,,
s2authorid:4338641,Afshinnekoo E,Ebrahim Afshinnekoo,Ebrahim,,Afshinnekoo,,
s2authorid:2068404160,Agha HM,Hala M Agha,Hala,M,Agha,,
s2authorid:47803729,Agyeman P,P Agyeman,P,,Agyeman,,
s2authorid:3849536,Ahsanuddin S,Sofia Ahsanuddin,Sofia,,Ahsanuddin,,
s2authorid:3309586,Aidelberg G,Guy Aidelberg,Guy,,Aidelberg,,
s2authorid:49454392,Akalin A,A Akalin,A,,Akalin,,
s2authorid:4864179,Akin D,D Akin,D,,Akin,,
s2authorid:16658619,Akiyoshi K,K Akiyoshi,K,,Akiyoshi,,
s2authorid:2106106455,Al-Quaddoomi FS,Faisal S Al-Quaddoomi,Faisal,S,Al-Quaddoomi,,
s2authorid:2161625929,Al-Saoud SYA,Sima Y Abu Al-Saoud,Sima,YAbu,Al-Saoud,,
s2authorid:1398283711,Al-saloos H,Hesham Al-saloos,Hesham,,Al-saloos,,
s2authorid:2106106221,Alam I,Ireen Alam,Ireen,,Alam,,
s2authorid:6878204,Alanio C,Cécile Alanio,Cécile,,Alanio,,
s2authorid:2055787798,Alavi A,Arash Alavi,Arash,,Alavi,,
s2authorid:2117232175,Alavi A,Amir Alavi,Amir,,Alavi,,
s2authorid:6822459,Albayay J,J Albayay,J,,Albayay,,
s2authorid:1380191263,Albuquerque GE,Gabriela E Albuquerque,Gabriela,E,Albuquerque,,
s2authorid:50528781,Alexiev A,A Alexiev,A,,Alexiev,,
s2authorid:2106104671,Ali K,Kalyn Ali,Kalyn,,Ali,,
s2authorid:1411768880,Alicea J,Josue Alicea,Josue,,Alicea,,
s2authorid:2302572,Allen GI,Genevera I Allen,Genevera,I,Allen,,
s2authorid:5938660,Almendares O,O Almendares,O,,Almendares,,
s2authorid:144857207,Alonso A,A Alonso,A,,Alonso,,
s2authorid:2189327434,Alsuliman B,Bader Alsuliman,Bader,,Alsuliman,,
s2authorid:1399698289,Alvarado-Arnez LE,L E Alvarado-Arnez,L,E,Alvarado-Arnez,,
s2authorid:2106105429,Aly S,Sarh Aly,Sarh,,Aly,,
s2authorid:3977144,Alzyoud RM,Raed M Alzyoud,Raed,M,Alzyoud,,
s2authorid:2106105629,Amachee J,Jennifer Amachee,Jennifer,,Amachee,,
s2authorid:47624373,Amer L,Lubna Amer,Lubna,,Amer,,
s2authorid:2165625916,Amirali A,A Amirali,A,,Amirali,,
s2authorid:2058249183,Amorim MG,Maria G Amorim,Maria,G,Amorim,,
s2authorid:2106105092,Ampadu M,Majelia Ampadu,Majelia,,Ampadu,,
s2authorid:2113869974,Amran MA,M A Amran,M,A,Amran,,
s2authorid:2106105490,An N,Nala An,Nala,,An,,
s2authorid:143606158,An S,S An,S,,An,,
s2authorid:1682742,Anderson E,E Anderson,E,,Anderson,,
s2authorid:50601357,Anderson EM,E M Anderson,E,M,Anderson,,
s2authorid:34731121,Anderson MS,Mark S Anderson,Mark,S,Anderson,,
s2authorid:4975993,Anderson MS,Marsha S Anderson,Marsha,S,Anderson,,
s2authorid:3324133,Andino R,R Andino,R,,Andino,,
s2authorid:2030968570,Andrea KP,Kurt P Andrea,Kurt,P,Andrea,,
s2authorid:2106105188,Andrew W,W Andrew,W,,Andrew,,
s2authorid:2024400643,Andrews T,T Andrews,T,,Andrews,,
s2authorid:2106106355,Andrianjakarivony H,H Andrianjakarivony,H,,Andrianjakarivony,,
s2authorid:3231106,Ang J,J Ang,J,,Ang,,
s2authorid:2106105052,Angelov M,M Angelov,M,,Angelov,,
s2authorid:2058134158,Anglin K,K Anglin,K,,Anglin,,
s2authorid:2494848,Angulo S,S Angulo,S,,Angulo,,
s2authorid:14523232,Annavajhala M,M Annavajhala,M,,Annavajhala,,
s2authorid:2056302588,Ansari S,S Ansari,S,,Ansari,,
s2authorid:46260289,Ansusinha E,E Ansusinha,E,,Ansusinha,,
s2authorid:52148676,Antelo V,Verónica Antelo,Verónica,,Antelo,,
s2authorid:40316980,Apostolidis SA,Sokratis A Apostolidis,Sokratis,A,Apostolidis,,
s2authorid:3588736,Aquino C,Catharine Aquino,Catharine,,Aquino,,
s2authorid:2166506991,Arab Y,Yousra Arab,Yousra,,Arab,,
s2authorid:2060775490,Aranguren Á,Álvaro Aranguren,Álvaro,,Aranguren,,
s2authorid:144398962,Araujo LF,L F Araujo,L,F,Araujo,,
s2authorid:87776814,Arenas S,S Arenas,S,,Arenas,,
s2authorid:123344592,Arevalo CP,C P Arevalo,C,P,Arevalo,,
s2authorid:2106107807,Arevalo HFV,Hitler Francois Vasquez Arevalo,Hitler,FrancoisVasquez,Arevalo,,
s2authorid:145855214,Arevalo J,Jenny Arevalo,Jenny,,Arevalo,,
s2authorid:2218124739,Arlen RA,Robert A Arlen,Robert,A,Arlen,,
s2authorid:39295811,Armstrong AJS,Abigail J S Armstrong,Abigail,JS,Armstrong,,
s2authorid:3774117,Arnan C,Carme Arnan,Carme,,Arnan,,
s2authorid:6830037,Arnez LE,L E Arnez,L,E,Arnez,,
s2authorid:47310381,Aronoff R,R Aronoff,R,,Aronoff,,
s2authorid:2106105042,Arredondo F,Fernanda Arredondo,Fernanda,,Arredondo,,
s2authorid:40256189,Arredondo J,J Arredondo,J,,Arredondo,,
s2authorid:12156220,Arthur M,M Arthur,M,,Arthur,,
s2authorid:49036948,Asenjo F,Freddy Asenjo,Freddy,,Asenjo,,
s2authorid:13999060,Ashouri N,N Ashouri,N,,Ashouri,,
s2authorid:2112233528,Aung T,T Aung,T,,Aung,,
s2authorid:24310580,Austin A,A Austin,A,,Austin,,
s2authorid:1406576458,Austin-Page L,Lukas Austin-Page,Lukas,,Austin-Page,,
s2authorid:46800261,Auvinet J,J Auvinet,J,,Auvinet,,
s2authorid:5760912,Aventín N,Núria Aventín,Núria,,Aventín,,
s2authorid:3792157,Axelsson T,T Axelsson,T,,Axelsson,,
s2authorid:2969387,Ayaz S,Sadaf Ayaz,Sadaf,,Ayaz,,
s2authorid:2091451197,Ayyala R,Ram Ayyala,Ram,,Ayyala,,
s2authorid:6796917,Babady N,N Babady,N,,Babady,,
s2authorid:2120206445,Babler K,K Babler,K,,Babler,,
s2authorid:2271359966,Babler T,T Babler,T,,Babler,,
s2authorid:2051244851,Baburyan S,Silva Baburyan,Silva,,Baburyan,,
s2authorid:2076466217,Bacon A,A Bacon,A,,Bacon,,
s2authorid:2209097421,Bacon A,Amanda Bacon,Amanda,,Bacon,,
s2authorid:2185583240,Bagchi D,Debneel Bagchi,Debneel,,Bagchi,,
s2authorid:23475545,Bahar B,B Bahar,B,,Bahar,,
s2authorid:2332985,Bahmani A,Amir Bahmani,Amir,,Bahmani,,
s2authorid:2069434436,Bailey MA,Michael A Bailey,Michael,A,Bailey,,
s2authorid:6876742,Bainto E,E Bainto,E,,Bainto,,
s2authorid:20880904,Baker JM,J M Baker,J,M,Baker,,
s2authorid:2106106140,Bakere A,Abd-Manaaf Bakere,Abd-Manaaf,,Bakere,,
s2authorid:151070389,Bakhl K,Katrina Bakhl,Katrina,,Bakhl,,
s2authorid:1390011059,Balachandran N,Neha Balachandran,Neha,,Balachandran,,
s2authorid:10257467,Balamuth F,F Balamuth,F,,Balamuth,,
s2authorid:144862219,Baldwin D,D Baldwin,D,,Baldwin,,
s2authorid:36534491,Banerjee A,A Banerjee,A,,Banerjee,,
s2authorid:5367474,Baraban J,J Baraban,J,,Baraban,,
s2authorid:4081971,Barrett ES,Emily S Barrett,Emily,S,Barrett,,
s2authorid:92822732,Barrios K,K Barrios,K,,Barrios,,
s2authorid:31885593,Barron K,K Barron,K,,Barron,,
s2authorid:2053239728,Barrows J,J Barrows,J,,Barrows,,
s2authorid:7026533,Bartelli T,T Bartelli,T,,Bartelli,,
s2authorid:2119097767,Bashir R,Rashid Bashir,Rashid,,Bashir,,
s2authorid:48189829,Bastard P,P Bastard,P,,Bastard,,
s2authorid:1961232210,Basu S,S Basu,S,,Basu,,
s2authorid:2106106841,Batdelger E,E Batdelger,E,,Batdelger,,
s2authorid:2047171301,Bates P,Paul Bates,Paul,,Bates,,
s2authorid:2106106839,Baudon F,François Baudon,François,,Baudon,,
s2authorid:38035950,Baxter A,A Baxter,A,,Baxter,,
s2authorid:113671135,Bayati M,Mohamed Bayati,Mohamed,,Bayati,,
s2authorid:30522854,Baykal P,P Baykal,P,,Baykal,,
s2authorid:49242946,Bazinet A,A Bazinet,A,,Bazinet,,
s2authorid:150006977,Bazrafshan A,Alisina Bazrafshan,Alisina,,Bazrafshan,,
s2authorid:50595248,Beattie RE,Rachelle E Beattie,Rachelle,E,Beattie,,
s2authorid:2220485975,Beatty C,Candelaria Beatty,Candelaria,,Beatty,,
s2authorid:2153390783,Beaver C,C Beaver,C,,Beaver,,
s2authorid:2075815569,Becher K,K Becher,K,,Becher,,
s2authorid:39750797,Becker C,C Becker,C,,Becker,,
s2authorid:28950924,Bedford T,T Bedford,T,,Bedford,,
s2authorid:2337683,Beerenwinkel N,N Beerenwinkel,N,,Beerenwinkel,,
s2authorid:144100999,Beheshti A,Afshin Beheshti,Afshin,,Beheshti,,
s2authorid:5285029,Behrens E,E Behrens,E,,Behrens,,
s2authorid:2142624122,Bejikian C,Caroline Bejikian,Caroline,,Bejikian,,
s2authorid:86904884,Bektaş A,A Bektaş,A,,Bektaş,,
s2authorid:7654666,Belenchia A,A Belenchia,A,,Belenchia,,
s2authorid:2218105440,Bellido K,Kevin Bellido,Kevin,,Bellido,,
s2authorid:2053273948,Bello C,Carla Bello,Carla,,Bello,,
s2authorid:8642136,Bellusci L,L Bellusci,L,,Bellusci,,
s2authorid:2051864739,Belmonte K,Kathleen Belmonte,Kathleen,,Belmonte,,
s2authorid:3775130,Benardini J,J Benardini,J,,Benardini,,
s2authorid:17672004,Benchouaia M,Médine Benchouaia,Médine,,Benchouaia,,
s2authorid:46683114,Bendesky A,Andrés Bendesky,Andrés,,Bendesky,,
s2authorid:47307096,Benisty H,H Benisty,H,,Benisty,,
s2authorid:2199567969,Benitez A,Aymara Benitez,Aymara,,Benitez,,
s2authorid:2238937596,Bennett D,Dimitri Bennett,Dimitri,,Bennett,,
s2authorid:10713286,Benoiston A,Anne-Sophie Benoiston,Anne-Sophie,,Benoiston,,
s2authorid:2066102275,Benson J,J Benson,J,,Benson,,
s2authorid:1391751615,Benzi E,E Benzi,E,,Benzi,,
s2authorid:4196819,Benítez D,D Benítez,D,,Benítez,,
s2authorid:2726716,Bergman N,N Bergman,N,,Bergman,,
s2authorid:6941528,Berkowitz D,D Berkowitz,D,,Berkowitz,,
s2authorid:2067754908,Bernardes J,J Bernardes,J,,Bernardes,,
s2authorid:47430122,Berry GJ,G J Berry,G,J,Berry,,
s2authorid:49315102,Bertrand D,D Bertrand,D,,Bertrand,,
s2authorid:9757086,Bertumen JB,J B Bertumen,J,B,Bertumen,,
s2authorid:5365801,Berul C,C Berul,C,,Berul,,
s2authorid:2185712036,Bethancourt S,Sutana Bethancourt,Sutana,,Bethancourt,,
s2authorid:5163996,Betts M,M Betts,M,,Betts,,
s2authorid:2179454904,Beudeker CR,Coco R Beudeker,Coco,R,Beudeker,,
s2authorid:3880603,Beurmann S,Silvia Beurmann,Silvia,,Beurmann,,
s2authorid:4258292,Bezdan D,D Bezdan,D,,Bezdan,,
s2authorid:2215371495,Bhakta K,Kushmita Bhakta,Kushmita,,Bhakta,,
s2authorid:2117420032,Bhasin R,Rajat Bhasin,Rajat,,Bhasin,,
s2authorid:145501313,Bhatnagar A,A Bhatnagar,A,,Bhatnagar,,
