from,to
U01AA029345,dbgap:phs002744.v1.p1
U18TR003793,dbgap:phs002778.v1.p1
U01DA053949,dbgap:phs002604.v1.p1
U01HL150852,dbgap:phs002583.v1.p1
R33HD105594,dbgap:phs002603.v1.p1
R01DC016112,dbgap:phs002642.v1.p1
R44DE030842,dbgap:phs002702.v1.p1
R44DE030852,dbgap:phs002685.v1.p1
U18TR003780,dbgap:phs003124.v1.p1
U01DA053899,dbgap:phs002729.v1.p1
U01DC019579,dbgap:phs002964.v1.p1
ZIAES103366,dbgap:phs002782.v1.p1
R61HD105591,dbgap:phs002945.v1.p1
U18TR003787,dbgap:phs002563.v1.p1
R42DE030829,dbgap:phs002574.v1.p1
R42DE030829,dbgap:phs002570.v1.p1
U54HL119145,dbgap:phs002689.v1.p1
U54HL119145,dbgap:phs002561.v1.p1
R42DE030832,dbgap:phs002572.v1.p1
U18TR003778,dbgap:phs002544.v1.p1
R61HD105593,dbgap:phs002585.v1.p1
U01LM013129,dbgap:phs002527.v1.p1
U01HL152401,dbgap:phs002924.v1.p1
U18TR003812,dbgap:phs002747.v1.p1
R61HD105619,dbgap:phs002569.v1.p1
R61HD105590,dbgap:phs002553.v1.p1
U01AA029348,dbgap:phs002573.v1.p1
U01AA029328,dbgap:phs002546.v1.p1
R44DE030841,dbgap:phs002550.v1.p1
R61HD105618,dbgap:phs002781.v1.p1
R01DK130067,dbgap:phs002657.v1.p1
U18TR003775,dbgap:phs002588.v1.p1
R61HD105613,dbgap:phs002609.v1.p1
U01HL152410,dbgap:phs002522.v1.p1
R01MD016526,dbgap:phs002551.v1.p1
U01AA029324,dbgap:phs002543.v1.p1
R01NR020105,dbgap:phs002523.v1.p1
U18TR003807,dbgap:phs002709.v1.p1
U01AA029331,dbgap:phs002700.v1.p1
U18TR003795,dbgap:phs002600.v1.p1
U01DC019573,dbgap:phs002631.v1.p1
U01DC019578,dbgap:phs002699.v1.p1
U01DA053941,dbgap:phs002525.v1.p1
R61HD105610,dbgap:phs002549.v1.p1
U01AA029316,dbgap:phs002565.v1.p1
R01DE031114,dbgap:phs002524.v1.p1
U54HL119145,dbgap:phs002602.v1.p1
U01DA053976,dbgap:PENDING TRIBAL DATA TRANSFER AND USE AGREEMENT RECEIPT
U01DA053903,dbgap:phs002542.v1.p1
U01DA053893,dbgap:phs002679.v1.p1
