from,to
doi:10.1186/s12985-023-02223-8,doi:10.7171/jbt.21-3203-019
doi:10.3390/covid3060066,doi:10.7171/jbt.21-3203-019
doi:10.1097/PHH.0000000000001748,doi:10.7171/jbt.21-3203-019
doi:10.1134/S106816202206022X,doi:10.7171/jbt.21-3203-019
doi:10.1016/j.bios.2022.114654,doi:10.7171/jbt.21-3203-019
doi:10.1021/acsestwater.2c00047,doi:10.7171/jbt.21-3203-019
doi:10.1039/d3lc00683b,doi:10.7171/jbt.21-3203-017
doi:10.1128/jcm.00771-23,doi:10.7171/jbt.21-3203-017
doi:10.1016/j.ab.2023.115410,doi:10.7171/jbt.21-3203-017
doi:10.1134/S1068162023060080,doi:10.7171/jbt.21-3203-017
doi:10.17912/micropub.biology.000979,doi:10.7171/jbt.21-3203-017
doi:10.1126/sciadv.adi4997,doi:10.7171/jbt.21-3203-017
doi:10.3390/ijms241813847,doi:10.7171/jbt.21-3203-017
doi:10.36233/0372-9311-364,doi:10.7171/jbt.21-3203-017
doi:10.1186/s12985-023-02088-x,doi:10.7171/jbt.21-3203-017
doi:10.3390/microorganisms11051233,doi:10.7171/jbt.21-3203-017
doi:10.1038/s42003-023-04612-9,doi:10.7171/jbt.21-3203-017
doi:10.3390/vaccines11020374,doi:10.7171/jbt.21-3203-017
doi:10.1039/d2lc00554a,doi:10.7171/jbt.21-3203-017
doi:10.1080/14737159.2023.2169071,doi:10.7171/jbt.21-3203-017
doi:10.3390/biology11121809,doi:10.7171/jbt.21-3203-017
doi:10.1134/S106816202206022X,doi:10.7171/jbt.21-3203-017
doi:10.3389/fmed.2022.1037094,doi:10.7171/jbt.21-3203-017
doi:10.3390/metabo12111056,doi:10.7171/jbt.21-3203-017
doi:10.1016/j.bios.2022.114654,doi:10.7171/jbt.21-3203-017
doi:10.1111/1751-7915.14112,doi:10.7171/jbt.21-3203-017
doi:10.3390/bios12070492,doi:10.7171/jbt.21-3203-017
doi:10.1038/s41592-022-01439-w,doi:10.7171/jbt.21-3203-017
doi:10.1515/revac-2022-0051,doi:10.7171/jbt.21-3203-017
doi:10.3390/w15071367,doi:10.3390/w14081187
doi:10.1002/edn3.416,doi:10.3390/w14081187
doi:10.1128/spectrum.03050-22,doi:10.3390/w14081187
doi:10.1101/2022.08.02.502560,doi:10.3390/w14081187
doi:10.3390/v15071499,doi:10.3390/v13091803
doi:10.1016/j.scitotenv.2023.165007,doi:10.3390/v13091803
doi:10.1016/j.scitotenv.2022.159166,doi:10.3390/v13091803
doi:10.1101/2022.09.25.22280344,doi:10.3390/v13091803
doi:10.1016/j.meegid.2022.105315,doi:10.3390/v13091803
doi:10.1021/acs.estlett.2c00259,doi:10.3390/v13091803
doi:10.1080/22221751.2022.2071173,doi:10.3390/v13091803
doi:10.1007/s00705-022-05433-7,doi:10.3390/v13091803
doi:10.3390/v14020306,doi:10.3390/v13091803
doi:10.1038/s41598-022-06625-6,doi:10.3390/v13091803
doi:10.3389/fmicb.2024.1338100,doi:10.3390/v13081647
doi:10.1038/s41467-023-44199-7,doi:10.3390/v13081647
doi:10.1016/j.ijregi.2023.11.005,doi:10.3390/v13081647
doi:10.1128/mbio.01468-23,doi:10.3390/v13081647
doi:10.1371/journal.ppat.1011688,doi:10.3390/v13081647
doi:10.1016/j.watres.2023.120444,doi:10.3390/v13081647
doi:10.1101/2022.12.10.519890,doi:10.3390/v13081647
doi:10.1101/2023.06.08.23291050,doi:10.3390/v13081647
doi:10.1371/journal.pone.0284483,doi:10.3390/v13081647
