from,to
s2authorid:89826291,WO2022169991A1
s2authorid:2152843701,WO2022169991A1
s2authorid:2209272,WO2022169991A1
s2authorid:1745180850,WO2022169991A1
orcid:0000-0002-8659-2910,US11740171B2
profileid:7039414,WO2023049044A1
profileid:6787050,WO2023049044A1
s2authorid:2072330006,WO2023049044A1
s2authorid:2109216276,WO2023049044A1
profileid:10046004,WO2023049044A1
s2authorid:120614987,WO2023009846A1
profileid:2191319,WO2022204258A1
profileid:10349485,WO2022178313A1
s2authorid:20417415,WO2023192883A2
profileid:8668731,WO2023192883A2
s2authorid:150006977,WO2023192883A2
profileid:12364332,WO2023114970A2
s2authorid:2108087935,WO2023114970A2
profileid:6390810,WO2023137426A2
profileid:12225947,WO2022109155
profileid:77861758,WO2022109155
profileid:8553912,WO2023192433
s2authorid:5375227,WO2023192433
profileid:12225947,EP4247971A1
profileid:77861758,EP4247971A1
profileid:11288941,WO2022169991A1
orcid:0000-0002-3793-8014,US20220280062A1
profileid:2563052,WO2023049044A1
profileid:2050145,US20220387924A1
profileid:6625336,US20230248297A1
s2authorid:34450801,WO2023192433
profileid:6293772,WO2023278510
profileid:9451051,WO2023278510
profileid:7680168,WO2023278510
