from,to,isPi,isContactPi,isStudyInvestigator
profileid:8668731,U01AA029345,true,true,true
profileid:8956784,U18TR003793,true,true,true
profileid:9198778,R33HD105594,true,true,true
profileid:14135419,R61HD105618,true,false,false
profileid:1880742,U01HL150852,true,false,false
profileid:1896926,R01DC016112,true,true,true
profileid:78421272,R44DE030842,true,true,true
profileid:77861758,R44DE030852,true,true,true
profileid:6625336,U01DC019579,true,true,true
profileid:6570860,ZIAES103366,true,true,true
profileid:2191319,R42DE030829,true,true,true
profileid:1876423,U54HL119145,true,true,true
profileid:6390810,U18TR003778,true,true,true
profileid:77827345,U01AA029348,true,false,true
profileid:9445541,R44DE030841,true,true,true
profileid:9717053,R01MD016526,true,true,true
profileid:8857241,U01AA029324,true,true,true
profileid:9436729,R01MD016526,true,true,false
profileid:7086603,U01HL152410,true,false,false
profileid:1897028,U01HL152410,true,true,false
profileid:10450719,U24LM013755,true,false,false
profileid:1891108,U01HL150852,true,true,false
profileid:6406851,U01HL150852,true,false,false
profileid:9845089,U01HL150852,true,false,false
profileid:11435055,U18TR003793,true,false,false
profileid:6417303,U01HL152401,true,true,false
profileid:10311819,U01DA053903,true,true,false
profileid:77858219,U01DA053976,true,false,false
profileid:10833925,U01DA053976,true,true,false
profileid:8656449,R44DE030841,true,false,false
profileid:11273504,U01AA029316,true,false,false
profileid:10394059,R61HD105591,true,false,false
profileid:77859447,U01DA053949,true,false,false
profileid:9896788,U18TR003807,true,false,false
profileid:14417875,U18TR003807,true,false,false
profileid:9493483,U18TR003778,true,false,false
profileid:12081117,U18TR003778,true,false,false
profileid:6951767,U18TR003778,true,false,false
profileid:15877233,U01HL152410,true,false,false
profileid:8614812,U54HL119145,true,false,false
profileid:1858811,U54HL119145,true,false,false
profileid:15312069,R42DE030832,true,true,false
profileid:10938548,U18TR003807,true,false,false
orcid:0000-0002-3793-8014,U01HL150852,false,false,true
orcid:0000-0003-2240-7648,U54HL119145,false,false,true
profileid:8139237,U54HL119145,false,false,true
orcid:0000-0002-5128-9532,R42DE030832,false,false,true
orcid:0000-0002-3884-5127,U01HL152401,false,false,true
orcid:0000-0002-8659-2910,U01HL152410,false,false,true
orcid:0000-0001-7193-065X,U01DA053903,false,false,true
profileid:9733196,U01DA053949,true,true,true
profileid:10349485,U18TR003780,true,true,true
profileid:10129440,U01DA053899,true,true,true
profileid:16231045,R61HD105591,true,true,true
profileid:10807170,U18TR003787,true,true,true
profileid:7039414,R61HD105593,true,true,true
profileid:8952899,U01LM013129,true,true,true
profileid:8485696,U18TR003812,true,true,true
profileid:6601712,R61HD105619,true,true,true
profileid:7989301,R61HD105590,true,true,true
profileid:77816868,U01AA029328,true,true,true
profileid:8667619,R61HD105618,true,true,true
profileid:2264716,R01DK130067,true,true,true
profileid:8547915,U18TR003775,true,true,true
profileid:6786579,R61HD105613,true,true,true
profileid:1862128,R01NR020105,true,true,true
profileid:12364332,U18TR003807,true,true,true
profileid:8553912,U01AA029331,true,true,true
profileid:2050145,U18TR003795,true,true,true
profileid:6293772,U01DC019573,true,true,true
profileid:1877373,U01DC019578,true,true,true
profileid:11165737,U01DA053941,true,true,true
profileid:9832700,R61HD105610,true,true,true
profileid:8012149,U01AA029316,true,true,true
profileid:11288941,R01DE031114,true,true,true
profileid:77820001,U01DA053893,true,true,true
profileid:9942278,R01DK130067,true,false,false
profileid:10320851,R33HD105594,true,false,false
profileid:9603016,U24LM013755,true,false,false
profileid:12225947,U01AA029348,true,true,false
profileid:1900244,U24LM013755,true,true,false
profileid:1862771,R01DK130067,true,false,false
profileid:16392635,U01DC019578,true,false,false
profileid:14228211,R61HD105610,true,false,false
profileid:8717080,R61HD105618,true,false,false
profileid:7698522,U01LM013129,true,false,false
profileid:14431376,U01LM013129,true,false,false
profileid:9502968,R61HD105610,true,false,false
profileid:9136437,U01DA053941,true,false,false
profileid:10379550,U01DA053941,true,false,false
profileid:1861871,R61HD105613,true,false,false
profileid:2431709,R61HD105613,true,false,false
profileid:12255899,R61HD105618,true,false,false
profileid:7745756,U18TR003795,true,false,false
profileid:9972311,U18TR003787,true,false,false
profileid:10046004,R61HD105593,true,false,false
profileid:6787050,R61HD105593,true,false,false
profileid:2563052,R61HD105593,true,false,false
profileid:8485057,U18TR003812,true,false,false
profileid:1913135,R61HD105591,true,false,false
profileid:77871541,R61HD105591,true,false,false
profileid:8892513,U18TR003807,true,false,false
profileid:6763646,R61HD105591,true,false,false
profileid:11457621,R61HD105619,true,false,false
profileid:1861255,R61HD105619,true,false,false
profileid:9451051,U01DC019573,true,false,false
profileid:7680168,U01DC019573,true,false,false
