from,to
profileid:6625336,ae27baf31f88698080a13283b977faf3
profileid:6625336,002020d8308198d8e23841d67a2edb0d
profileid:9451051,962bcba40d8ae53eb9f6adfa92e476de
profileid:9451051,86b10ec18eb309bd09ed0638ad6d9c00
profileid:1877373,006458e5ddfa0299c0c5310106b61ce8
profileid:1877373,196b5e9e60db4a56653e5bfe4088ff6c
profileid:8485696,cf197e5a369f99145e525699089439fb
profileid:10807170,41d9821dc51fbf7d26d14dc4ac2a0d54
s2authorid:47012539,41d9821dc51fbf7d26d14dc4ac2a0d54
profileid:2050145,b34c0f79e57273e641c23e7d0bbb1260
profileid:1896926,a23b1fda417d14d96568b59149b581db
profileid:2191319,2f6ce5a27dc0873adb8aee54a031f864
profileid:6390810,7b1273c98d51747cf3ff3517d0902ace
profileid:10349485,447c9ff722838ff46f88755f6b6c6033
s2authorid:49655786,447c9ff722838ff46f88755f6b6c6033
s2authorid:2218689617,447c9ff722838ff46f88755f6b6c6033
profileid:10129440,0b3a9f88141569ab51fa2a002f7d0dc8
profileid:8952899,a5f169b21d92d017f8c6a2cab4a20607
s2authorid:144903961,e37e6d0a5606a8d09e56c1f12909c4de
s2authorid:144903961,a876a658524128cbcb8321f0074459eb
profileid:10311819,e496deec48c9ecd440fe1c99cb51748e
profileid:11165737,00acfead28f382d8640dcdca2449a8e1
profileid:11165737,b9d509ade283378684b68a744b48caa5
profileid:11165737,feee4d698525fb0b79ab734a62633b9d
profileid:9136437,00acfead28f382d8640dcdca2449a8e1
profileid:9136437,b9d509ade283378684b68a744b48caa5
profileid:9136437,a816c2763970ac6abc92b8e089b3f6ed
profileid:10379550,00acfead28f382d8640dcdca2449a8e1
profileid:10379550,b9d509ade283378684b68a744b48caa5
s2authorid:14523232,05443495855af318d806a203c1309b36
profileid:10833925,ebe96494e5e7677f5599a97573c25657
profileid:7698522,ebe96494e5e7677f5599a97573c25657
profileid:77858219,ebe96494e5e7677f5599a97573c25657
profileid:2264716,7217db25215aa422371b0bdf98dd4e85
s2authorid:3344916,7217db25215aa422371b0bdf98dd4e85
s2authorid:47904404,7217db25215aa422371b0bdf98dd4e85
profileid:11288941,f7fe65ac42fc9263cd49d36532f9af09
s2authorid:2332985,92df32fb144dced48bd770579d61f8a3
profileid:9603016,eb467dd4067d74d835df24b2ad5cfb24
profileid:9603016,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
profileid:9603016,ae2034a5c361fe615332f1b88eb60add
profileid:10450719,6ad53abe568f13e34747e71d3079d5fe
profileid:10450719,ae2034a5c361fe615332f1b88eb60add
profileid:8139237,3ddb29962d0659f92cbfdfbd02141cb8
orcid:0000-0002-3793-8014,9b26f7364ff70280b9e12072fb518587
orcid:0000-0002-3884-5127,2c34e78546e77e0651b98dc39a408e13
orcid:0000-0002-8659-2910,44353faa32c1a1ecc489b32fc4851cbb
s2authorid:2258089068,44353faa32c1a1ecc489b32fc4851cbb
profileid:78421272,f10c31d02026ef92e1edd49fbd367226
profileid:9445541,b6b8f7ca10124e84ba0f341975738f2b
profileid:14228211,731c1d9639bf03564d9f05641df87686
profileid:6786579,c631a37fe6ff79589981f553a64eca2b
profileid:6786579,ae3137a5e86c95b3dd311a76c3cc021d
profileid:6786579,f5a001234a4fcb3ea1f6ee00c190a502
profileid:6786579,b28d049aad1d4c414da0f8926433d477
profileid:6786579,44fbc4b6151d1e350200b406d44d552f
profileid:6786579,62fd74163cb87b922c288e64677db7fe
profileid:6786579,f7b1ab3223f0b07876da55574c346a78
profileid:6786579,f96a518d60ef96da2284d33618676401
profileid:6786579,7430b05ac272ae3b1fd7b6b8845443ea
profileid:6601712,e6a529eee0f09e967a984494fc99ec7d
profileid:6787050,6c7d46df46e4a20d9fd6d5a078e22ec9
profileid:12255899,3ee3a3711ced0ab245585cc56117d891
profileid:16231045,bbac2ed401cd105e980bd7b3d7f59858
s2authorid:120614987,8bb0200bf8e8266e35a908167c1ef4ce
s2authorid:1753689741,3a8286520d439288838476ef0a391040
s2authorid:2170019668,3a8286520d439288838476ef0a391040
s2authorid:2110308418,3a8286520d439288838476ef0a391040
profileid:8012149,18faea611e34e8d55ff6195a443b82d9
s2authorid:48335536,18faea611e34e8d55ff6195a443b82d9
profileid:11273504,18faea611e34e8d55ff6195a443b82d9
profileid:8857241,cdb034a81017e7d3eab2289f454a2dff
profileid:8668731,97620909eed255aa412fcfd6a748b09e
profileid:8553912,526cb764deeea462872ecb79eeaafc58
s2authorid:14596380,1f2d71c0660800877267bf752e45fec0
s2authorid:2184494479,b4192e909276ab53005f914ff39c1b05
s2authorid:1737106036,b9d509ade283378684b68a744b48caa5
s2authorid:34687521,b9d509ade283378684b68a744b48caa5
s2authorid:34687521,3202caa000fce8ca6107fcbfe334377e
s2authorid:2165625916,b9d509ade283378684b68a744b48caa5
s2authorid:2165625916,2b38066263d90729e876fad44c63f3f7
s2authorid:2153390783,b9d509ade283378684b68a744b48caa5
s2authorid:2106668947,b9d509ade283378684b68a744b48caa5
s2authorid:115292599,b9d509ade283378684b68a744b48caa5
s2authorid:1398465471,b9d509ade283378684b68a744b48caa5
s2authorid:5270263,b9d509ade283378684b68a744b48caa5
s2authorid:2165625329,b9d509ade283378684b68a744b48caa5
s2authorid:2153845577,b9d509ade283378684b68a744b48caa5
s2authorid:5398266,b9d509ade283378684b68a744b48caa5
s2authorid:5398266,d5490221be8a1b84899d3f8df3beb5c4
s2authorid:2082940133,b9d509ade283378684b68a744b48caa5
s2authorid:4352642,b9d509ade283378684b68a744b48caa5
s2authorid:2143555395,b9d509ade283378684b68a744b48caa5
s2authorid:2107467486,b9d509ade283378684b68a744b48caa5
s2authorid:152270772,b9d509ade283378684b68a744b48caa5
s2authorid:2116957996,b9d509ade283378684b68a744b48caa5
s2authorid:2143555395,6ceb1dd1de854dd44c4d21244ede16e7
s2authorid:2107467486,6ceb1dd1de854dd44c4d21244ede16e7
s2authorid:152270772,6ceb1dd1de854dd44c4d21244ede16e7
s2authorid:2116957996,6ceb1dd1de854dd44c4d21244ede16e7
s2authorid:2120169021,b9d509ade283378684b68a744b48caa5
s2authorid:1454462702,b9d509ade283378684b68a744b48caa5
s2authorid:31525792,b9d509ade283378684b68a744b48caa5
s2authorid:100924779,b9d509ade283378684b68a744b48caa5
s2authorid:2059051309,b9d509ade283378684b68a744b48caa5
s2authorid:2059051309,532b00f9324146015d081b0a124cb896
s2authorid:36775654,b9d509ade283378684b68a744b48caa5
s2authorid:82811923,b9d509ade283378684b68a744b48caa5
s2authorid:2165624933,b9d509ade283378684b68a744b48caa5
s2authorid:144795098,b9d509ade283378684b68a744b48caa5
s2authorid:94251509,b9d509ade283378684b68a744b48caa5
s2authorid:94251509,532b00f9324146015d081b0a124cb896
s2authorid:92601021,b9d509ade283378684b68a744b48caa5
s2authorid:92601021,449a3c56846dc7f3d1332766488d201d
s2authorid:153275725,b9d509ade283378684b68a744b48caa5
s2authorid:48392757,b9d509ade283378684b68a744b48caa5
s2authorid:51292954,b9d509ade283378684b68a744b48caa5
s2authorid:81260283,b9d509ade283378684b68a744b48caa5
s2authorid:2120206445,b9d509ade283378684b68a744b48caa5
s2authorid:2120206445,8fd8608bbe4813f494b26f8980d52ba1
s2authorid:1935336,b8fcc0cd336b7a17226ae6fcfd02db68
s2authorid:143700507,b8fcc0cd336b7a17226ae6fcfd02db68
s2authorid:121147517,b8fcc0cd336b7a17226ae6fcfd02db68
s2authorid:2144810864,b8fcc0cd336b7a17226ae6fcfd02db68
s2authorid:1935336,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
s2authorid:143700507,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
s2authorid:121147517,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
s2authorid:2144810864,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
s2authorid:34917092,ae3137a5e86c95b3dd311a76c3cc021d
s2authorid:34917092,f5a001234a4fcb3ea1f6ee00c190a502
s2authorid:34917092,b28d049aad1d4c414da0f8926433d477
s2authorid:34917092,44fbc4b6151d1e350200b406d44d552f
s2authorid:34917092,62fd74163cb87b922c288e64677db7fe
s2authorid:34917092,f7b1ab3223f0b07876da55574c346a78
s2authorid:34917092,f96a518d60ef96da2284d33618676401
s2authorid:34917092,7430b05ac272ae3b1fd7b6b8845443ea
s2authorid:35297104,ae3137a5e86c95b3dd311a76c3cc021d
s2authorid:35297104,f5a001234a4fcb3ea1f6ee00c190a502
s2authorid:35297104,b28d049aad1d4c414da0f8926433d477
s2authorid:35297104,44fbc4b6151d1e350200b406d44d552f
s2authorid:35297104,62fd74163cb87b922c288e64677db7fe
s2authorid:35297104,f7b1ab3223f0b07876da55574c346a78
s2authorid:35297104,f96a518d60ef96da2284d33618676401
s2authorid:35297104,7430b05ac272ae3b1fd7b6b8845443ea
s2authorid:2196948624,b28d049aad1d4c414da0f8926433d477
s2authorid:2196948624,44fbc4b6151d1e350200b406d44d552f
s2authorid:2196948624,62fd74163cb87b922c288e64677db7fe
s2authorid:1435929933,b28d049aad1d4c414da0f8926433d477
s2authorid:1435929933,44fbc4b6151d1e350200b406d44d552f
s2authorid:1435929933,62fd74163cb87b922c288e64677db7fe
s2authorid:4190366,b28d049aad1d4c414da0f8926433d477
s2authorid:4190366,44fbc4b6151d1e350200b406d44d552f
s2authorid:4190366,62fd74163cb87b922c288e64677db7fe
profileid:2431709,b28d049aad1d4c414da0f8926433d477
profileid:2431709,44fbc4b6151d1e350200b406d44d552f
profileid:2431709,62fd74163cb87b922c288e64677db7fe
s2authorid:39620026,b28d049aad1d4c414da0f8926433d477
s2authorid:39620026,44fbc4b6151d1e350200b406d44d552f
s2authorid:39620026,62fd74163cb87b922c288e64677db7fe
s2authorid:1759536,5f2a879f6c8c6c188f45f982fcda03cb
s2authorid:1759536,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
s2authorid:2106799969,3c5aea01250659e764dc36ada21c106b
s2authorid:69044424,ba9a4143d0df5463e472cb18eaa6ff09
s2authorid:2199575510,e55f409fd6e3083ed984294a761e3306
s2authorid:39499358,62fd74163cb87b922c288e64677db7fe
s2authorid:2213008432,62fd74163cb87b922c288e64677db7fe
s2authorid:2054398663,62fd74163cb87b922c288e64677db7fe
profileid:1861871,62fd74163cb87b922c288e64677db7fe
s2authorid:145724895,62fd74163cb87b922c288e64677db7fe
s2authorid:2159439364,62fd74163cb87b922c288e64677db7fe
profileid:1900244,29585d9d8c2e4fd1b6eb06e1bfe8f4c0
profileid:1900244,ae2034a5c361fe615332f1b88eb60add
