from,to
s2authorid:2072483999,dbgap:phs003124.v1.p1
s2authorid:2184494479,dbgap:phs003124.v1.p1
s2authorid:2072483999,dbgap:phs002964.v1.p1
s2authorid:2184494479,dbgap:phs002964.v1.p1
s2authorid:1792468,dbgap:phs002945.v1.p1
s2authorid:2072483999,dbgap:phs002945.v1.p1
s2authorid:40344211,dbgap:phs002945.v1.p1
s2authorid:2184494479,dbgap:phs002945.v1.p1
s2authorid:2072483999,dbgap:phs002924.v1.p1
s2authorid:2184494479,dbgap:phs002924.v1.p1
s2authorid:2072483999,dbgap:phs002782.v1.p1
s2authorid:2184494479,dbgap:phs002782.v1.p1
s2authorid:2072483999,dbgap:phs002781.v1.p1
,dbgap:phs002781.v1.p1
s2authorid:40344211,dbgap:phs002781.v1.p1
s2authorid:2184494479,dbgap:phs002781.v1.p1
s2authorid:2184494479,dbgap:phs002778.v1.p1
s2authorid:2072483999,dbgap:phs002747.v1.p1
s2authorid:2184494479,dbgap:phs002747.v1.p1
s2authorid:2072483999,dbgap:phs002744.v1.p1
s2authorid:2184494479,dbgap:phs002744.v1.p1
s2authorid:2072483999,dbgap:phs002729.v1.p1
s2authorid:2184494479,dbgap:phs002729.v1.p1
s2authorid:2072483999,dbgap:phs002709.v1.p1
s2authorid:2184494479,dbgap:phs002709.v1.p1
s2authorid:2072483999,dbgap:phs002702.v1.p1
s2authorid:2184494479,dbgap:phs002702.v1.p1
s2authorid:2072483999,dbgap:phs002700.v1.p1
s2authorid:2184494479,dbgap:phs002700.v1.p1
s2authorid:2072483999,dbgap:phs002699.v1.p1
s2authorid:2184494479,dbgap:phs002699.v1.p1
s2authorid:2072483999,dbgap:phs002689.v1.p1
s2authorid:2184494479,dbgap:phs002689.v1.p1
s2authorid:2072483999,dbgap:phs002685.v1.p1
s2authorid:2184494479,dbgap:phs002685.v1.p1
s2authorid:2072483999,dbgap:phs002679.v1.p1
s2authorid:2184494479,dbgap:phs002679.v1.p1
s2authorid:2072483999,dbgap:phs002657.v1.p1
s2authorid:1397184885,dbgap:phs002657.v1.p1
s2authorid:2184494479,dbgap:phs002657.v1.p1
s2authorid:2072483999,dbgap:phs002642.v1.p1
s2authorid:2184494479,dbgap:phs002642.v1.p1
s2authorid:2072483999,dbgap:phs002631.v1.p1
s2authorid:2184494479,dbgap:phs002631.v1.p1
s2authorid:2072483999,dbgap:phs002609.v1.p1
s2authorid:2184494479,dbgap:phs002609.v1.p1
s2authorid:2072483999,dbgap:phs002604.v1.p1
s2authorid:2184494479,dbgap:phs002604.v1.p1
s2authorid:2072483999,dbgap:phs002603.v1.p1
s2authorid:2184494479,dbgap:phs002603.v1.p1
s2authorid:2072483999,dbgap:phs002602.v1.p1
s2authorid:2184494479,dbgap:phs002602.v1.p1
s2authorid:2072483999,dbgap:phs002600.v1.p1
s2authorid:2184494479,dbgap:phs002600.v1.p1
s2authorid:2072483999,dbgap:phs002588.v1.p1
s2authorid:2184494479,dbgap:phs002588.v1.p1
s2authorid:2072483999,dbgap:phs002585.v1.p1
s2authorid:2184494479,dbgap:phs002585.v1.p1
s2authorid:2072483999,dbgap:phs002583.v1.p1
s2authorid:2184494479,dbgap:phs002583.v1.p1
s2authorid:2072483999,dbgap:phs002573.v1.p1
s2authorid:2184494479,dbgap:phs002573.v1.p1
s2authorid:2072483999,dbgap:phs002572.v1.p1
s2authorid:2184494479,dbgap:phs002572.v1.p1
s2authorid:2072483999,dbgap:phs002570.v1.p1
s2authorid:2184494479,dbgap:phs002570.v1.p1
s2authorid:2072483999,dbgap:phs002569.v1.p1
s2authorid:2184494479,dbgap:phs002569.v1.p1
s2authorid:2072483999,dbgap:phs002565.v1.p1
s2authorid:2184494479,dbgap:phs002565.v1.p1
s2authorid:2072483999,dbgap:phs002563.v1.p1
s2authorid:2184494479,dbgap:phs002563.v1.p1
s2authorid:2072483999,dbgap:phs002561.v1.p1
s2authorid:2184494479,dbgap:phs002561.v1.p1
s2authorid:2072483999,dbgap:phs002553.v1.p1
s2authorid:2184494479,dbgap:phs002553.v1.p1
s2authorid:2072483999,dbgap:phs002551.v1.p1
s2authorid:2184494479,dbgap:phs002551.v1.p1
s2authorid:2072483999,dbgap:phs002550.v1.p1
s2authorid:2184494479,dbgap:phs002550.v1.p1
s2authorid:2072483999,dbgap:phs002549.v1.p1
s2authorid:2184494479,dbgap:phs002549.v1.p1
s2authorid:2072483999,dbgap:phs002546.v1.p1
s2authorid:2184494479,dbgap:phs002546.v1.p1
s2authorid:2072483999,dbgap:phs002544.v1.p1
s2authorid:2184494479,dbgap:phs002544.v1.p1
s2authorid:2072483999,dbgap:phs002543.v1.p1
s2authorid:2184494479,dbgap:phs002543.v1.p1
s2authorid:2072483999,dbgap:phs002542.v1.p1
s2authorid:2184494479,dbgap:phs002542.v1.p1
s2authorid:2072483999,dbgap:phs002527.v1.p1
s2authorid:2184494479,dbgap:phs002527.v1.p1
s2authorid:2169822026,dbgap:phs002525.v1.p1
s2authorid:2072483999,dbgap:phs002525.v1.p1
s2authorid:2184494479,dbgap:phs002525.v1.p1
profileid:11165737,dbgap:phs002525.v1.p1
s2authorid:2072483999,dbgap:phs002524.v1.p1
s2authorid:2184494479,dbgap:phs002524.v1.p1
s2authorid:143740901,dbgap:phs002523.v1.p1
s2authorid:2072483999,dbgap:phs002523.v1.p1
s2authorid:2184494479,dbgap:phs002523.v1.p1
s2authorid:2072483999,dbgap:phs002522.v1.p1
s2authorid:2184494479,dbgap:phs002522.v1.p1
